,id,DOCTOR,NURSE,MIDWIFE,DENTIST,NUTRITIONI,PHARMACIST,OCCUPATION,MEDICAL TE,PHYSICAL T,RADIOLOGY,X-RAY TECH,year
0,Aborlan,20,30,7,1,0,0,0,1,0,0,0,2017
1,Abra De Ilog,10,30,0,0,0,1,0,0,1,0,0,2017
2,Abucay,20,10,5,1,0,0,0,4,0,0,0,2017
3,Abulug,10,30,7,1,0,0,0,1,0,0,0,2017
4,Abuyog,80,210,20,2,1,3,0,7,0,1,0,2017
5,Adams,10,40,3,0,0,0,0,0,0,0,0,2017
6,Agdangan,0,0,0,0,0,0,0,0,0,0,0,2017
7,Aglipay,30,60,5,6,0,0,0,2,0,1,0,2017
8,Agno,30,30,8,2,0,3,0,1,0,0,0,2017
9,Agoncillo,0,0,0,0,0,0,0,0,0,0,0,2017
10,Agoo,750,830,49,1,2,9,1,16,3,9,1,2017
11,Aguilar,80,100,8,3,0,3,0,0,0,0,0,2017
12,Aguinaldo,40,100,19,1,1,1,0,2,0,0,0,2017
13,Agutaya,0,10,4,0,0,0,0,0,0,0,0,2017
14,Ajuy,20,20,14,1,0,0,0,1,0,0,0,2017
15,Akbar,0,0,0,0,0,0,0,0,0,0,0,2017
16,Alabat,10,70,5,2,1,1,0,2,0,0,1,2017
17,Alabel,20,80,16,2,1,0,0,1,1,0,0,2017
18,Alamada,0,0,0,0,0,7,0,0,0,0,0,2017
19,Alaminos (LA),10,20,4,0,0,0,0,1,0,0,0,2017
20,Alaminos (PS),480,1500,39,17,3,25,0,15,4,4,2,2017
21,Alang-Alang,10,10,8,1,0,0,0,2,0,0,0,2017
22,Al-Barka,0,0,0,0,0,0,0,0,0,0,0,2017
23,Albuera,10,20,9,0,0,0,0,1,0,0,0,2017
24,Alburquerque,10,20,3,0,0,0,0,0,0,0,0,2017
25,Alcala (CG),50,320,13,1,0,1,0,3,0,0,0,2017
26,Alcala (PS),10,10,7,1,0,8,0,1,1,0,0,2017
27,Alcantara (CU),0,0,0,0,0,0,0,0,0,0,0,2017
28,Alcantara (RN),10,0,4,0,0,0,0,0,0,0,0,2017
29,Alcoy,10,40,1,0,0,0,0,0,0,0,0,2017
30,Alegria (CU),60,70,8,1,1,1,0,1,0,1,0,2017
31,Alegria (SN),10,10,5,0,0,0,0,0,0,0,0,2017
32,Aleosan,90,70,8,0,1,2,0,2,0,1,0,2017
33,Alfonso,230,160,3,0,2,1,0,1,0,1,1,2017
34,Alfonso Castaneda,10,10,8,0,0,0,0,1,0,0,0,2017
35,Alfonso Lista,40,110,17,1,1,1,0,4,0,0,0,2017
36,Aliaga,20,20,7,0,0,0,0,0,0,0,0,2017
37,Alicia (BL),0,0,0,0,0,0,0,0,0,0,0,2017
38,Alicia (IA),320,490,13,2,2,7,0,8,1,1,4,2017
39,Alicia (ZS),40,110,11,1,0,5,0,0,0,0,0,2017
40,Alilem,0,0,0,0,0,0,0,0,0,0,0,2017
41,Alimodian,50,170,22,1,0,1,0,2,0,0,0,2017
42,Alitagtag,0,0,0,0,0,0,0,0,0,0,0,2017
43,Allacapan,10,140,12,1,0,0,0,1,0,0,0,2017
44,Allen,40,140,5,0,1,0,0,2,0,0,0,2017
45,Almagro,20,70,4,0,0,0,0,0,0,0,0,2017
46,Almeria,10,10,8,1,0,0,0,1,0,0,0,2017
47,Aloguinsan,10,80,9,0,0,0,0,1,0,0,0,2017
48,Aloran,10,50,1,0,0,0,0,0,0,0,0,2017
49,Altavas,70,100,5,1,1,2,0,2,0,1,0,2017
50,Alubijid,0,0,0,0,0,0,0,0,0,0,0,2017
51,Amadeo,0,0,0,0,0,0,0,0,0,0,0,2017
52,Amai Manabilang,0,0,0,0,0,0,0,0,0,0,0,2017
53,Ambaguio,10,10,8,0,0,0,0,0,0,0,0,2017
54,Amlan,0,30,9,0,0,0,0,0,0,0,0,2017
55,Ampatuan,0,20,4,0,0,0,0,0,0,0,0,2017
56,Amulung,10,10,0,0,0,1,0,0,0,0,0,2017
57,Anahawan,70,230,15,1,0,1,0,3,0,0,1,2017
58,Anao,10,10,6,1,0,0,0,0,0,0,0,2017
59,Anda (BL),0,0,0,0,0,0,0,0,0,0,0,2017
60,Anda (PS),0,0,0,0,0,0,0,0,0,0,0,2017
61,Angadanan,10,170,12,1,1,0,0,1,0,0,0,2017
62,Angat,20,20,16,1,0,0,0,1,0,0,0,2017
63,Angeles,2160,5610,87,7,14,32,0,115,8,20,9,2017
64,Angono,420,750,22,3,0,2,0,12,0,1,2,2017
65,Anilao,0,0,0,0,0,0,0,0,0,0,0,2017
66,Anini-Y,10,10,5,0,0,0,0,1,0,0,0,2017
67,Antequera,0,0,0,0,0,0,0,0,0,0,0,2017
68,Antipas,100,230,11,1,1,8,0,3,0,1,1,2017
69,Antipolo,910,940,6,5,3,9,0,10,0,2,0,2017
70,Apalit,300,340,18,1,2,4,0,5,0,2,3,2017
71,Aparri,720,690,27,3,2,7,0,13,0,4,0,2017
72,Araceli,10,20,4,0,0,0,0,0,0,0,0,2017
73,Arakan,60,120,21,0,1,4,0,2,0,0,1,2017
74,Arayat,190,400,31,1,1,4,0,6,0,2,0,2017
75,Argao,60,240,23,2,1,1,0,4,0,1,0,2017
76,Aringay,10,30,8,0,0,0,0,0,0,0,0,2017
77,Aritao,10,80,16,1,0,1,0,1,0,0,0,2017
78,Aroroy,30,40,0,1,0,1,0,2,0,0,0,2017
79,Arteche,30,50,0,1,1,1,0,1,0,0,1,2017
80,Asingan,40,130,1,5,0,14,0,2,1,0,0,2017
81,Asipulo,10,10,14,0,0,0,0,1,0,0,0,2017
82,Asturias,10,90,14,0,0,0,0,0,0,0,0,2017
83,Asuncion,0,0,0,0,0,0,0,0,0,0,0,2017
84,Atimonan,160,470,5,2,3,2,0,4,0,1,0,2017
85,Atok,60,130,10,1,1,2,0,5,0,1,0,2017
86,Aurora (IA),0,0,0,0,0,0,0,0,0,0,0,2017
87,Aurora (ZR),80,340,13,0,2,5,1,1,0,0,0,2017
88,Ayungon,0,10,0,0,0,0,0,0,0,0,0,2017
89,Baao,100,230,18,2,2,1,0,2,0,0,2,2017
90,Babatngon,0,10,5,1,0,0,0,0,0,0,0,2017
91,Bacacay,70,110,17,1,1,0,0,3,0,1,0,2017
92,Bacarra,80,230,16,6,0,8,0,2,0,0,1,2017
93,Baclayon,10,10,5,0,0,0,0,0,0,0,0,2017
94,Bacnotan,80,230,12,1,1,4,0,2,0,2,0,2017
95,Baco,0,10,6,1,0,3,0,1,0,0,0,2017
96,Bacolod (LN),50,170,0,0,0,1,0,1,0,1,1,2017
97,Bacolod (NO),1420,3180,23,7,6,21,4,66,2,8,0,2017
98,Bacolod-Kalawi,0,0,0,0,0,0,0,0,0,0,0,2017
99,Bacolor,50,320,3,0,1,5,0,2,0,4,0,2017
100,Bacong,10,130,7,0,0,0,0,1,0,0,0,2017
101,Bacoor,700,1010,6,0,5,11,0,13,1,2,2,2017
102,Bacuag,10,10,5,0,0,0,0,0,0,0,0,2017
103,Bacungan Leon B. Postigo,0,0,0,0,0,0,0,0,0,0,0,2017
104,Badian,50,270,1,1,1,1,0,0,0,0,0,2017
105,Badiangan,0,0,0,0,0,0,0,0,0,0,0,2017
106,Badoc,10,60,8,1,0,8,0,1,0,0,0,2017
107,Bagabag,10,10,5,0,0,0,0,0,0,0,0,2017
108,Bagac,60,180,18,1,0,1,0,3,0,1,0,2017
109,Bagamanoc,10,90,11,1,0,0,0,1,0,0,0,2017
110,Baganga,0,10,16,0,0,0,0,1,0,0,0,2017
111,Baggao,70,220,17,1,0,4,0,6,0,1,0,2017
112,Bago,160,600,51,2,1,1,0,9,0,2,0,2017
113,Baguio,5950,8610,76,28,16,57,4,145,26,41,0,2017
114,Bagulin,10,20,9,1,0,0,0,1,0,0,0,2017
115,Bagumbayan,10,30,19,1,0,0,0,2,0,0,0,2017
116,Bais,100,300,22,2,1,3,0,7,1,0,0,2017
117,Bakun,10,20,7,0,0,0,0,0,1,0,0,2017
118,Balabac,0,10,5,0,0,0,0,0,0,0,0,2017
119,Balabagan,0,0,0,0,0,0,0,0,0,0,0,2017
120,Balagtas,130,160,18,1,2,0,0,4,0,0,0,2017
121,Balamban,160,400,4,1,1,4,0,4,0,2,1,2017
122,Balanga,1300,2150,49,5,6,11,0,45,0,5,1,2017
123,Balangiga,70,40,9,2,1,1,0,4,0,0,0,2017
124,Balangkayan,10,30,4,1,0,0,0,0,0,0,0,2017
125,Balaoan,70,150,17,1,1,2,0,2,0,2,0,2017
126,Balasan,50,90,0,1,1,1,0,1,0,0,0,2017
127,Balatan,30,40,7,1,0,0,0,1,0,0,0,2017
128,Balayan,580,600,3,3,2,7,0,7,0,3,5,2017
129,Balbalan,20,90,13,1,2,1,0,2,0,0,0,2017
130,Baleno,0,0,0,0,0,0,0,0,0,0,0,2017
131,Baler,20,20,16,2,0,0,0,1,0,0,0,2017
132,Balete (AK),10,80,10,0,0,0,0,1,0,0,0,2017
133,Balete (BS),0,0,0,0,0,0,0,0,0,0,0,2017
134,Baliangao,0,10,5,0,0,0,0,0,0,0,0,2017
135,Baliguian,0,20,8,0,0,0,0,1,0,0,0,2017
136,Balilihan,10,0,0,0,0,0,0,0,0,0,0,2017
137,Balindong,80,110,13,1,0,2,0,1,0,0,0,2017
138,Balingasag,110,500,19,2,1,2,0,4,0,1,0,2017
139,Balingoan,10,0,2,0,0,0,0,0,0,0,0,2017
140,Baliwag,930,2020,30,2,3,9,0,32,1,8,0,2017
141,Ballesteros,30,120,6,1,1,3,0,3,0,4,0,2017
142,Baloi,20,70,2,0,0,2,0,2,0,0,0,2017
143,Balud,0,0,0,0,0,0,0,0,0,0,0,2017
144,Balungao,20,60,8,1,0,1,0,1,0,0,0,2017
145,Bamban,120,170,14,1,1,3,0,3,0,0,1,2017
146,Bambang,270,1640,22,2,1,6,0,17,0,7,0,2017
147,Banate,10,110,10,1,0,0,0,1,0,0,0,2017
148,Banaue,30,100,15,1,0,0,0,2,0,0,0,2017
149,Banaybanay,0,0,0,0,0,0,0,0,0,0,0,2017
150,Banayoyo,10,10,3,0,0,1,0,1,0,0,0,2017
151,Banga (AK),20,160,12,1,0,0,0,1,0,0,0,2017
152,Banga (SC),30,10,2,0,0,6,0,0,0,0,0,2017
153,Bangar,30,130,10,1,0,0,0,5,0,1,0,2017
154,Bangued,410,1830,24,5,2,6,0,6,0,3,0,2017
155,Bangui,100,200,11,4,1,5,0,4,1,0,0,2017
156,Bani,50,60,11,4,0,2,0,1,0,0,0,2017
157,Banisilan,0,0,0,0,0,1,0,0,0,0,0,2017
158,Banna,10,30,8,1,0,3,0,2,0,0,0,2017
159,Bansalan,300,640,2,1,2,4,0,6,0,1,3,2017
160,Bansud,10,60,4,0,0,4,0,1,0,0,0,2017
161,Bantay,70,210,17,1,0,3,0,5,0,0,0,2017
162,Bantayan Island,0,0,0,0,0,0,0,0,0,0,0,2017
163,Banton,10,10,5,0,0,0,0,0,0,0,0,2017
164,Baras (CT),10,20,0,0,0,0,0,0,0,0,0,2017
165,Baras (RL),70,40,3,0,0,0,0,1,0,0,0,2017
166,Barbaza,40,70,8,1,0,1,0,1,0,1,0,2017
167,Barcelona,10,10,6,1,0,0,0,1,0,0,0,2017
168,Barili,20,40,2,1,1,1,0,1,0,0,0,2017
169,Barira,0,0,0,0,0,0,0,0,0,0,0,2017
170,Barlig,20,60,0,0,1,1,0,1,0,0,0,2017
171,Barobo,10,30,11,1,0,0,0,0,0,0,0,2017
172,Barotac Nuevo,80,100,8,1,0,4,0,5,0,0,0,2017
173,Barotac Viejo,100,150,16,1,0,1,2,1,0,0,0,2017
174,Baroy,60,170,14,0,0,1,0,2,0,2,0,2017
175,Barugo,10,30,6,0,0,0,0,1,0,0,0,2017
176,Basay,10,40,11,0,0,0,0,1,0,0,0,2017
177,Basco,60,420,6,5,1,1,0,2,0,0,0,2017
178,Basey,0,0,0,0,0,0,0,1,0,0,0,2017
179,Basilisa,0,10,7,0,0,0,0,1,0,0,0,2017
180,Basista,0,0,0,0,0,0,0,0,0,0,0,2017
181,Basud (CN),10,10,10,0,0,0,0,1,0,0,0,2017
182,Batac,1090,2330,33,3,5,43,0,28,8,10,1,2017
183,Batad,0,0,0,0,0,0,0,0,0,0,0,2017
184,Batan,10,110,12,1,0,0,0,1,0,0,0,2017
185,Batangas,3680,5070,46,2,10,18,1,58,27,29,5,2017
186,Bataraza,60,100,0,1,0,3,0,0,1,0,0,2017
187,Bato (CS),30,30,16,1,0,0,0,1,0,0,0,2017
188,Bato (CT),10,90,5,0,0,0,0,1,0,0,0,2017
189,Bato (LE),10,40,8,0,0,0,0,1,0,0,0,2017
190,Batuan (BL),0,0,0,0,0,0,0,0,0,0,0,2017
191,Batuan (MS),0,40,2,0,0,0,0,0,0,0,0,2017
192,Bauan,610,1690,24,1,2,9,0,15,1,0,13,2017
193,Bauang,20,280,19,1,0,0,0,2,0,0,0,2017
194,Bauko,200,340,23,3,3,3,0,11,1,4,0,2017
195,Baungon,20,40,4,1,0,0,0,2,0,0,0,2017
196,Bautista,0,0,0,0,0,0,0,0,0,0,0,2017
197,Bay,80,240,11,1,1,2,0,3,0,0,0,2017
198,Bayabas,10,10,1,1,0,0,0,1,0,0,0,2017
199,Bayambang,260,740,8,7,1,26,0,6,0,1,2,2017
200,Bayang,10,30,3,0,0,0,0,0,0,0,0,2017
201,Bayawan,140,210,42,2,1,3,0,3,0,0,0,2017
202,Baybay,1180,2430,36,6,6,14,0,48,0,13,0,2017
203,Bayog,0,0,0,0,0,0,0,0,0,0,0,2017
204,Bayombong,580,700,12,3,4,7,0,12,0,0,0,2017
205,Bayugan,100,350,21,2,0,3,0,4,0,0,0,2017
206,Belison,10,10,4,0,0,0,0,0,0,0,0,2017
207,Benito Soliven,10,20,10,1,0,0,0,1,0,0,0,2017
208,Besao,40,80,3,1,1,1,0,1,0,1,0,2017
209,Bien Unido,0,0,0,0,0,0,0,0,0,0,0,2017
210,Bilar,10,130,4,0,0,0,0,0,0,0,0,2017
211,Biliran,0,10,5,0,0,0,0,1,0,0,0,2017
212,Binalbagan,50,190,37,0,0,0,0,3,0,0,0,2017
213,Binalonan,90,170,13,2,0,10,0,4,0,0,0,2017
214,Binangonan,150,210,18,2,1,1,0,2,0,1,1,2017
215,Bindoy,80,160,0,1,1,1,0,1,0,0,0,2017
216,Bingawan,0,0,0,0,0,0,0,0,0,0,0,2017
217,Binidayan,50,200,4,0,1,1,0,1,0,0,0,2017
218,Binmaley,130,160,18,3,0,7,0,3,0,0,2,2017
219,Binuangan,10,0,2,0,0,0,0,0,0,0,0,2017
220,Biri,20,70,4,1,1,1,0,2,0,0,0,2017
221,Bislig,230,630,48,5,1,6,0,8,0,4,0,2017
222,Binan,250,1630,34,1,2,5,0,11,9,21,0,2017
223,Boac,260,300,15,14,3,14,0,0,10,0,0,2017
224,Bobon,10,10,4,0,0,0,0,0,0,0,0,2017
225,Bocaue,210,290,24,2,2,3,0,5,1,1,0,2017
226,Bogo,50,200,3,1,1,1,0,3,0,0,0,2017
227,Bokod,50,70,13,0,1,1,0,3,0,1,0,2017
228,Bolinao,80,460,29,3,0,10,0,5,0,1,0,2017
229,Boliney,10,10,4,0,0,0,0,0,0,0,0,2017
230,Boljoon,0,0,0,0,0,0,0,0,0,0,0,2017
231,Bombon,10,30,6,0,0,0,0,1,0,0,0,2017
232,Bongabon,60,170,4,1,1,2,0,1,0,0,2,2017
233,Bongabong,80,160,19,0,0,6,0,1,1,0,0,2017
234,Bongao,140,350,35,3,2,1,0,8,0,1,0,2017
235,Bonifacio,70,100,11,1,0,3,0,1,0,0,0,2017
236,Bontoc (MP),160,530,34,1,2,4,0,7,1,2,0,2017
237,Bontoc (SL),10,20,6,0,0,0,0,1,0,0,0,2017
238,Borbon,0,0,0,0,0,0,0,0,0,0,0,2017
239,Borongan,220,400,18,4,2,2,0,13,0,0,0,2017
240,Boston,10,10,11,0,0,0,0,1,0,0,0,2017
241,Botolan,60,90,12,1,0,0,0,3,0,0,0,2017
242,Braulio E. Dujali,0,0,0,0,0,0,0,0,0,0,0,2017
243,Brooke's Point,170,370,34,4,3,12,0,7,0,0,1,2017
244,Buadiposo-Buntong,0,0,0,0,0,0,0,0,0,0,0,2017
245,Bubong,0,0,0,0,0,0,0,0,0,0,0,2017
246,Bucay,30,60,9,0,0,1,0,1,0,0,0,2017
247,Bucloc,0,30,4,0,0,0,0,0,0,0,0,2017
248,Buenavista (AN),10,60,15,1,0,0,0,1,0,0,0,2017
249,Buenavista (BL),0,0,0,0,0,0,0,0,0,0,0,2017
250,Buenavista (GS),40,130,9,0,1,1,0,1,0,0,0,2017
251,Buenavista (ME),10,20,5,1,0,2,0,0,0,0,0,2017
252,Buenavista (QN),0,0,0,0,0,0,0,0,0,0,0,2017
253,Bugallon,50,40,10,2,0,5,0,1,0,0,0,2017
254,Bugasong,70,160,17,0,0,0,0,4,0,0,0,2017
255,Buguey,10,10,6,0,0,0,0,0,0,0,0,2017
256,Buguias,120,350,19,2,2,3,0,4,0,3,0,2017
257,Buhi,10,20,10,0,0,0,0,1,0,0,0,2017
258,Bula,20,20,13,1,0,0,0,1,0,0,0,2017
259,Bulakan,530,550,21,3,3,10,0,10,0,7,0,2017
260,Bulalacao,30,60,12,0,0,1,0,0,3,0,0,2017
261,Bulan,130,240,20,2,1,1,0,11,0,0,0,2017
262,Buldon,0,0,0,0,0,0,0,0,0,0,0,2017
263,Buluan,180,570,23,0,1,2,0,5,0,2,1,2017
264,Bulusan,40,130,9,0,0,0,0,1,0,0,0,2017
265,Bunawan,80,150,12,1,1,2,0,3,0,1,0,2017
266,Burauen,130,200,14,3,1,4,0,5,0,0,1,2017
267,Burdeos,10,90,7,0,0,0,0,0,0,0,0,2017
268,Burgos (IN),10,10,5,0,0,2,0,0,0,0,0,2017
269,Burgos (IS),10,10,4,0,0,0,0,1,0,0,0,2017
270,Burgos (IA),10,110,14,1,0,0,0,1,0,0,0,2017
271,Burgos (LU),10,0,7,1,0,0,0,1,0,0,0,2017
272,Burgos (PS),10,0,0,2,0,0,0,0,0,0,0,2017
273,Burgos (SN),0,0,0,0,0,0,0,0,0,0,0,2017
274,Buruanga,10,70,6,0,0,0,0,1,0,0,0,2017
275,Bustos,480,430,7,1,1,3,0,5,0,3,1,2017
276,Busuanga,0,20,9,0,0,0,0,0,0,0,0,2017
277,Butig,0,0,0,0,0,0,0,0,0,0,0,2017
278,Butuan,1270,3540,121,10,9,23,0,50,5,19,4,2017
279,Buug,160,150,9,0,1,9,0,5,0,2,0,2017
280,Caba,60,270,5,0,1,3,0,5,0,1,0,2017
281,Cabadbaran,90,280,24,1,1,3,0,2,0,1,0,2017
282,Cabagan,90,140,15,2,1,3,0,4,0,0,0,2017
283,Cabanatuan,4190,8980,45,7,20,38,0,104,20,48,9,2017
284,Cabangan,0,60,7,1,0,0,0,0,0,0,0,2017
285,Cabanglasan,0,10,9,1,0,0,0,2,0,0,0,2017
286,Cabarroguis,190,420,29,3,3,3,0,6,0,1,0,2017
287,Cabatuan (IO),100,610,7,6,1,3,0,4,0,3,1,2017
288,Cabatuan (IA),120,250,12,2,1,1,0,3,0,1,0,2017
289,Cabiao,190,250,1,0,1,2,0,3,0,2,1,2017
290,Cabucgayan,10,10,5,0,0,0,0,1,0,0,0,2017
291,Cabugao,270,720,15,2,2,9,0,2,0,0,2,2017
292,Cabusao,150,350,2,1,1,2,0,3,1,3,0,2017
293,Cabuyao,400,1300,12,0,2,7,0,11,4,4,2,2017
294,Cadiz,300,640,27,4,3,5,0,10,0,1,3,2017
295,Cagayancillo,10,0,1,0,0,0,0,0,0,0,0,2017
296,Cagayan De Oro,4250,7970,182,22,17,28,0,76,2,29,4,2017
297,Cagdianao,0,0,4,0,0,0,0,0,0,0,0,2017
298,Cagwait,0,10,5,1,0,0,0,1,0,0,0,2017
299,Caibiran,10,40,6,1,0,0,0,1,0,0,0,2017
300,Cainta,90,340,4,1,1,2,0,4,0,0,0,2017
301,Cajidiocan,50,100,6,1,1,1,0,1,0,0,0,2017
302,Calabanga,40,110,26,0,0,0,0,4,0,0,0,2017
303,Calaca,0,0,0,0,0,0,0,0,0,0,0,2017
304,Calamba (LA),1690,2880,58,2,7,12,0,28,10,18,3,2017
305,Calamba (MC),10,10,6,1,0,0,0,1,0,0,0,2017
306,Calanasan,30,90,13,1,1,1,0,1,0,1,0,2017
307,Calanogas,0,0,0,0,0,0,0,0,0,0,0,2017
308,Calapan,930,2470,67,10,9,29,1,24,9,3,3,2017
309,Calape,20,220,9,0,0,0,0,1,0,0,0,2017
310,Calasiao,50,220,24,3,0,8,0,1,0,0,0,2017
311,Calatagan,0,0,0,0,0,0,0,0,0,0,0,2017
312,Calatrava (NO),10,130,23,1,0,0,0,1,0,0,0,2017
313,Calatrava (RN),0,0,0,0,0,0,0,0,0,0,0,2017
314,Calauag,10,60,14,0,0,0,0,0,0,0,0,2017
315,Calauan,10,60,8,0,0,0,0,2,0,0,0,2017
316,Calayan,10,40,0,0,0,0,0,0,0,0,0,2017
317,Calbayog,410,280,18,5,0,3,0,17,0,0,0,2017
318,Calbiga,10,20,5,0,0,0,0,1,0,0,0,2017
319,Calinog,40,150,23,1,1,1,1,1,1,0,0,2017
320,Calintaan,10,10,6,1,0,0,0,0,1,0,0,2017
321,Caloocan,4380,4830,34,19,15,30,0,75,11,23,9,2017
322,Calubian,10,0,4,0,0,0,0,2,0,0,0,2017
323,Calumpit,500,600,24,1,3,9,0,17,0,3,3,2017
324,Caluya,70,140,9,6,0,1,0,2,0,1,0,2017
325,Camalaniugan,90,370,9,2,2,4,0,6,0,3,0,2017
326,Camalig,40,50,16,1,0,0,0,1,0,0,0,2017
327,Camaligan,0,0,0,0,0,0,0,0,0,0,0,2017
328,Camiling,350,970,31,3,3,10,0,18,2,3,3,2017
329,Canaman,20,10,11,1,0,0,0,1,0,0,0,2017
330,Can-Avid,20,40,9,0,0,0,0,2,0,0,0,2017
331,Candaba,60,160,16,1,0,1,0,3,0,0,0,2017
332,Candelaria (QN),580,1490,32,2,1,4,0,9,0,7,1,2017
333,Candelaria (ZA),140,390,8,1,1,4,0,4,0,1,2,2017
334,Candijay,30,110,12,0,0,1,0,2,0,0,0,2017
335,Candon,380,900,19,0,3,14,0,19,1,7,5,2017
