,name,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female,year
415,Dagohoy,150,20,1.691,1.524,614,608,2018
416,Daguioman,30,10,118,120,128,92,2018
417,Dagupan,340,80,11.713,10.438,5.784,5.937,2018
418,Dalaguete,420,80,6.623,5.761,3.143,3.265,2018
419,Damulog,290,20,2.885,2.602,749,864,2018
420,Danao (BL),210,40,1.698,1.443,891,892,2018
421,Danao (CU),440,320,11.339,10.351,4.961,5.001,2018
422,Dangcagan,140,20,2.426,2.213,755,883,2018
423,Danglas,50,10,285,294,211,195,2018
424,Dao,190,40,1.911,1.775,1.151,1.024,2018
425,Dapa,210,50,2.250,2.039,1.335,1.435,2018
426,Dapitan,500,100,6.760,6.153,3.077,2.958,2018
427,Daraga,480,80,8.930,8.104,5.221,5.286,2018
428,Daram,580,90,4.068,3.731,2.043,1.975,2018
429,Dasmarinas,280,120,38.446,35.500,19.709,19.531,2018
430,Dasol,170,40,2.285,2.129,744,658,2018
431,Datu Abdullah Sangki,120,0,2.835,2.895,0,0,2018
432,Datu Anggal Midtimbang,60,0,1.686,1.817,0,0,2018
433,Datu Blah Sinsuat,160,0,1.766,1.620,0,0,2018
434,Datu Hoffer Ampatuan,60,10,936,1.011,66,71,2018
435,Datu Odin Sinsuat,410,60,8.889,8.838,1.717,2.163,2018
436,Datu Paglas,230,30,3.731,3.383,1.180,1.322,2018
437,Datu Piang,150,30,2.562,2.554,746,815,2018
438,Datu Salibo,80,0,999,1.050,0,0,2018
439,Datu Saudi-Ampatuan,100,10,2.143,2.389,310,365,2018
440,Datu Unsay,50,10,716,832,133,118,2018
441,Dauin,130,70,1.820,1.685,1.044,991,2018
442,Dauis,120,30,2.879,2.595,1.164,1.044,2018
443,Davao,2840,790,115.134,106.060,46.074,48.931,2018
444,Del Carmen,190,30,1.468,1.287,539,520,2018
445,Delfin Albano,200,40,1.819,1.656,776,696,2018
446,Del Gallego,150,30,2.432,2.198,1.044,1.023,2018
447,Diadi,190,10,1.454,1.326,478,522,2018
448,Diffun,440,60,4.019,3.629,1.411,1.476,2018
449,Digos,360,90,13.426,12.624,5.906,6.323,2018
450,Dilasag,140,50,1.485,1.324,670,674,2018
451,Dimasalang,210,20,2.768,2.478,1.080,1.202,2018
452,Dimataling,250,80,2.632,2.415,1.300,1.216,2018
453,Dimiao,150,20,1.107,1.010,415,438,2018
454,Dinagat,120,30,805,703,441,395,2018
455,Dinalungan,80,20,950,904,405,495,2018
456,Dinalupihan,330,70,8.211,7.608,3.824,3.576,2018
457,Dinapigue,30,10,493,456,227,201,2018
458,Dinas,320,80,2.819,2.557,956,1.049,2018
459,Dingalan,140,40,2.225,2.016,923,982,2018
460,Dingle,240,50,3.406,2.917,1.507,1.370,2018
461,Dingras,240,60,2.764,2.387,1.099,1.025,2018
462,Dipaculao,230,60,2.708,2.458,1.123,1.177,2018
463,Diplahan,260,70,2.987,2.866,1.486,1.498,2018
464,Dipolog,380,100,9.752,9.135,5.166,5.434,2018
465,Ditsaan-Ramain,160,30,2.611,3.019,473,582,2018
466,Divilacan,50,10,355,342,164,146,2018
467,Dolores (AA),100,10,766,733,238,212,2018
468,Dolores (ES),420,50,3.940,3.504,1.854,2.057,2018
469,Dolores (QN),120,20,2.120,2.005,689,697,2018
470,Don Carlos,300,70,5.941,5.542,2.213,2.363,2018
471,Don Marcelino,220,40,4.651,4.207,1.545,1.583,2018
472,Donsol,470,70,4.990,4.374,2.730,2.704,2018
473,Don Victoriano Chiongbian,120,30,807,761,294,326,2018
474,Dona Remedios Trinidad,240,40,1.830,1.667,645,642,2018
475,Duero,210,30,1.391,1.344,622,508,2018
476,Duenas,260,50,2.603,2.384,1.302,1.197,2018
477,Dulag,390,60,3.991,3.741,1.961,2.087,2018
478,Dumaguete,180,80,8.073,7.351,4.605,4.741,2018
479,Dumalag,200,20,2.130,1.963,854,860,2018
480,Dumalinao,290,80,2.890,2.567,1.371,1.334,2018
481,Dumalneg,20,10,201,203,96,113,2018
482,Dumangas,310,40,4.803,4.181,2.134,2.004,2018
483,Dumanjug,290,60,4.975,4.467,2.241,2.215,2018
484,Dumaran,360,90,2.224,1.976,1.071,1.034,2018
485,Dumarao,330,60,3.636,3.163,1.787,1.623,2018
486,Dumingag,520,50,4.611,4.161,1.626,1.742,2018
487,Dupax Del Norte,210,50,2.137,1.904,891,925,2018
488,Dupax Del Sur,170,30,1.426,1.292,443,446,2018
489,Echague,570,80,5.855,5.313,2.038,2.034,2018
490,El Nido,270,90,3.954,3.730,1.918,2.085,2018
491,El Salvador,150,70,3.954,3.646,1.410,1.249,2018
492,Enrile,190,40,2.499,2.348,1.326,1.129,2018
493,E. B. Magalona,220,40,4.954,4.500,1.698,1.721,2018
494,Enrique Villanueva,40,10,413,328,320,286,2018
495,Escalante,270,140,8.330,7.397,3.788,3.962,2018
496,Esperanza (AS),530,100,6.274,5.661,1.897,1.946,2018
497,Esperanza (MS),180,20,1.730,1.650,706,690,2018
498,Esperanza (SK),350,80,5.118,4.908,2.328,2.584,2018
499,Estancia,110,20,4.053,3.713,1.941,2.101,2018
500,Famy,50,10,1.301,1.192,789,809,2018
501,Ferrol,60,10,613,554,216,185,2018
502,Flora,170,30,1.477,1.311,562,528,2018
503,Floridablanca,340,60,7.586,6.841,3.354,3.005,2018
504,Gabaldon,200,30,3.004,2.700,871,870,2018
505,Gainza,60,10,884,818,359,353,2018
506,Galimuyod,90,10,533,474,131,91,2018
507,Gamay,210,50,1.981,1.906,1.301,1.248,2018
508,Gamu,160,30,2.115,1.962,944,843,2018
509,Ganassi,240,60,2.225,2.452,999,1.189,2018
510,Gandara,560,40,3.212,2.937,1.447,1.413,2018
511,Gapan,330,100,8.633,7.782,4.509,4.532,2018
512,Garchitorena,230,80,3.306,2.898,1.119,1.107,2018
513,Garcia-Hernandez,180,30,1.665,1.439,640,599,2018
514,Gasan,220,50,3.028,2.822,1.456,1.428,2018
515,Gattaran,460,40,4.356,3.814,1.605,1.681,2018
516,Gen. Emilio Aguinaldo,100,10,1.328,1.105,488,492,2018
517,General Luna (QN),150,20,2.204,1.883,642,619,2018
518,General Luna  (SN),170,40,1.477,1.421,806,809,2018
519,General Macarthur,240,10,1.382,1.188,501,518,2018
520,General Mamerto Natividad,190,40,2.981,2.736,1.020,1.035,2018
521,General Nakar,260,40,2.633,2.397,969,948,2018
522,General Santos,740,260,46.552,43.537,21.636,22.388,2018
523,General Tinio,150,40,3.337,3.210,1.805,1.839,2018
524,General Trias,270,80,19.390,18.330,8.828,8.527,2018
525,Gen. Mariano Alvarez,80,20,10.889,9.965,4.801,4.856,2018
526,Gen S.K Pendatun,160,30,2.623,2.645,761,791,2018
527,Gerona,430,70,5.843,5.347,2.327,2.253,2018
528,Getafe,240,40,2.884,2.599,971,944,2018
529,Gigaquit,180,20,1.766,1.584,544,556,2018
530,Gigmoto,70,30,828,768,440,442,2018
531,Ginatilan,110,50,1.205,1.064,491,432,2018
532,Gingoog,740,220,11.693,10.440,4.264,4.469,2018
533,Giporlos,120,20,1.193,1.056,609,621,2018
534,Gitagum,110,10,1.187,1.096,219,245,2018
535,Glan,530,220,10.426,9.421,3.766,4.022,2018
536,Gloria,280,40,3.980,3.606,1.489,1.413,2018
537,Goa,260,70,6.745,6.218,2.319,2.483,2018
538,Godod,210,30,1.874,1.729,488,471,2018
539,Gonzaga,270,60,3.188,2.955,1.169,1.168,2018
540,Governor Generoso,220,60,5.655,5.266,2.250,2.420,2018
541,Gregorio Del Pilar,90,10,267,229,111,104,2018
542,Guagua,250,40,6.813,6.298,2.526,2.438,2018
543,Gubat,390,60,4.843,4.249,2.544,2.656,2018
544,Guiguinto (BU),140,40,6.132,5.740,3.656,3.565,2018
545,Guihulngan,570,120,8.854,8.245,3.124,3.536,2018
546,Guimba,550,80,7.941,7.281,2.622,2.878,2018
547,Guimbal,120,40,2.362,2.126,1.587,1.609,2018
548,Guinayangan,250,50,3.343,3.130,1.280,1.291,2018
549,Guindulman,200,30,2.461,2.131,981,927,2018
550,Guindulungan,80,10,1.652,1.610,384,457,2018
551,Guinobatan,350,60,6.580,5.813,3.918,4.064,2018
552,Guinsiliban,60,20,512,524,281,238,2018
553,Guipos,200,40,1.841,1.624,864,902,2018
554,Guiuan,450,70,4.240,3.876,2.030,1.757,2018
555,Gumaca,280,70,5.414,5.079,2.710,2.606,2018
556,Gutalac,340,60,3.875,3.468,1.234,1.305,2018
557,Hadji Mohammad Ajul,100,20,1.080,1.060,195,188,2018
558,Hadji Muhtamad,30,20,529,495,250,333,2018
559,Hadji Panglima Tahil,60,10,118,132,38,44,2018
560,Hagonoy (BU),290,40,8.915,8.224,4.308,4.252,2018
561,Hagonoy (DS),220,20,4.149,3.862,1.250,1.149,2018
562,Hamtic,410,60,4.084,3.633,2.143,1.967,2018
563,Hermosa,170,30,5.085,4.629,1.582,1.573,2018
564,Hernani,100,10,681,678,481,436,2018
565,Hilongos,500,60,4.790,4.297,2.169,2.081,2018
566,Himamaylan,440,110,10.140,9.267,3.169,3.349,2018
567,Hinabangan,190,20,1.200,1.109,710,786,2018
568,Hinatuan,390,120,3.691,3.342,1.812,1.758,2018
569,Hindang,180,30,1.559,1.372,753,649,2018
570,Hingyon,150,20,824,725,310,340,2018
571,Hinigaran,300,40,6.833,6.066,2.728,2.643,2018
572,Hinobaan,280,40,5.891,5.388,2.050,2.054,2018
573,Hinunangan,300,30,2.096,1.900,969,866,2018
574,Hinundayan,140,10,877,777,372,372,2018
575,Hungduan,140,20,721,575,214,254,2018
576,Iba,170,40,3.905,3.681,2.215,2.162,2018
577,Ibaan,160,20,3.437,3.016,1.797,1.788,2018
578,Ibajay,330,50,3.686,3.319,1.562,1.552,2018
579,Igbaras,200,20,2.270,2.019,1.186,1.063,2018
580,Iguig,140,30,2.033,1.786,927,853,2018
581,Ilagan,880,170,10.370,9.533,5.051,4.891,2018
582,Iligan,850,300,27.637,25.367,10.326,11.510,2018
583,Ilog,240,70,4.647,4.294,1.459,1.510,2018
584,Iloilo,530,180,26.480,24.402,12.965,13.494,2018
585,Imelda,190,10,2.099,1.904,590,667,2018
586,Impasug-Ong,290,50,4.890,4.522,1.485,1.762,2018
587,Imus,260,50,22.224,20.367,11.218,10.905,2018
588,Inabanga,460,60,3.862,3.512,1.801,1.654,2018
589,Indanan,330,40,3.957,3.764,764,906,2018
590,Indang,260,20,3.893,3.544,1.384,1.331,2018
591,Infanta (PS),150,40,2.143,1.865,718,739,2018
592,Infanta (QN),190,40,5.675,5.280,2.670,2.737,2018
593,Initao,170,40,3.031,2.710,1.006,1.035,2018
594,Inopacan,190,50,1.593,1.423,856,810,2018
595,Ipil,280,70,7.022,6.463,2.365,2.555,2018
596,Iriga,400,120,7.923,7.567,4.004,3.875,2018
597,Irosin,310,30,5.141,4.524,2.751,2.722,2018
598,Isabel,210,50,3.293,3.095,1.738,1.602,2018
599,Isabela (BAS),520,100,9.702,9.251,4.516,5.077,2018
600,Isabela (NO),280,40,5.632,5.145,2.195,2.418,2018
601,Igacos,510,210,8.689,7.906,3.936,3.931,2018
602,Isulan,270,50,6.848,6.339,2.382,2.613,2018
603,Itbayat,40,20,270,192,151,144,2018
604,Itogon,390,70,3.907,3.581,879,903,2018
605,Ivana,20,10,70,87,68,53,2018
606,Ivisan,150,20,2.357,2.111,1.117,1.095,2018
607,Jabonga,180,50,2.190,2.015,841,849,2018
608,Jaen,260,50,4.694,4.329,1.764,1.710,2018
609,Jagna,220,50,2.459,2.208,805,685,2018
610,Jalajala,80,30,2.345,2.091,1.087,1.109,2018
611,Jamindan,300,40,2.990,2.660,1.621,1.527,2018
612,Janiuay,370,50,5.316,4.568,2.833,2.825,2018
613,Jaro,420,50,3.845,3.451,1.917,1.845,2018
614,Jasaan,150,40,4.253,3.952,1.930,1.853,2018
615,Javier,260,20,2.238,2.014,804,830,2018
616,Jiabong,280,30,1.506,1.375,654,646,2018
617,Jimalalud,240,30,2.609,2.358,946,1.144,2018
618,Jimenez,200,30,1.798,1.642,571,604,2018
619,Jipapad,120,10,864,814,383,370,2018
620,Jolo,340,40,8.946,9.171,3.642,4.642,2018
621,Jomalig,50,20,798,798,311,331,2018
622,Jones,440,80,2.859,2.623,1.400,1.445,2018
623,Jordan,160,20,2.869,2.672,1.295,1.308,2018
624,Jose Abad Santos,310,50,8.084,7.725,1.922,2.065,2018
625,Jose Dalman,210,30,2.854,2.563,1.032,1.125,2018
626,Josefina,140,30,784,698,486,525,2018
627,Jose Panganiban,270,40,5.696,5.458,2.357,2.532,2018
628,Jovellar,200,30,1.617,1.367,704,738,2018
629,Juban,240,60,3.179,2.773,1.240,1.145,2018
630,Julita,200,10,1.327,1.187,548,566,2018
631,Kabacan,320,100,8.613,8.286,2.200,2.371,2018
632,Kabankalan,680,210,17.318,15.679,6.508,7.251,2018
633,Kabasalan,360,50,4.532,4.227,2.181,2.258,2018
634,Kabayan,220,40,1.101,941,390,449,2018
635,Kabugao,350,40,1.480,1.232,308,276,2018
636,Kabuntalan,260,20,2.534,2.332,369,459,2018
637,Kadingilan,210,20,3.254,2.906,795,796,2018
638,Kalamansig,240,80,4.678,4.343,1.426,1.530,2018
639,Kalawit,180,60,2.455,2.146,721,741,2018
640,Kalayaan (LA),70,20,1.727,1.578,590,626,2018
641,Kalayaan (PN),10,0,16,9,0,0,2018
642,Kalibo,170,60,5.457,4.758,1.848,2.090,2018
643,Kalilangan,240,30,3.875,3.567,1.388,1.518,2018
644,Kalingalan Caluang,130,20,1.262,1.290,282,315,2018
645,Kananga,230,60,5.212,4.747,1.746,2.148,2018
646,Kapai,160,10,1.095,1.098,207,311,2018
647,Kapalong,470,130,7.054,6.491,2.847,2.901,2018
648,Kapangan,270,40,1.449,1.237,702,666,2018
649,Kapatagan (LN),290,60,4.786,4.503,2.291,2.226,2018
650,Kapatagan (LS),90,50,1.546,1.698,527,743,2018
651,Kasibu,350,50,3.398,3.029,995,1.177,2018
652,Katipunan,440,80,4.027,3.602,1.835,1.865,2018
653,Kauswagan,130,30,2.067,1.941,653,712,2018
654,Kawayan,190,30,1.688,1.583,826,840,2018
655,Kawit,110,20,4.375,4.088,2.497,2.510,2018
656,Kayapa,410,70,1.975,1.821,563,696,2018
657,Kiamba,310,70,5.726,5.393,1.942,2.259,2018
658,Kiangan,150,10,1.187,1.107,143,131,2018
659,Kibawe,260,10,3.859,3.545,424,432,2018
660,Kiblawan,300,40,3.438,3.060,1.233,1.170,2018
661,Kibungan,240,30,1.314,1.255,250,301,2018
662,Kidapawan,580,250,11.565,10.513,5.416,5.751,2018
663,Kinoguitan,110,30,1.242,1.133,499,439,2018
664,Kitaotao,440,60,4.906,4.567,1.395,1.605,2018
665,Kitcharao,110,20,1.650,1.496,660,641,2018
666,Kolambugan,120,20,1.963,1.887,734,866,2018
667,Koronadal,450,90,12.860,11.894,6.430,6.479,2018
668,Kumalarang,220,50,2.667,2.505,1.019,1.144,2018
669,Laak,500,70,6.657,6.094,2.849,2.977,2018
670,Labangan,250,60,3.575,3.308,749,800,2018
671,Labason,210,60,3.664,3.261,1.332,1.281,2018
672,Labo,460,130,9.411,8.631,3.322,3.341,2018
673,Labrador,90,20,1.661,1.522,825,802,2018
674,La Carlota,240,50,5.213,4.871,2.776,2.996,2018
675,La Castellana,290,40,7.124,6.487,2.823,3.108,2018
676,Lacub,70,10,305,269,68,73,2018
677,Lagangilang,150,20,1.039,916,340,325,2018
678,Lagawe,180,30,1.602,1.398,299,241,2018
679,Lagayan,80,10,371,339,142,157,2018
680,Lagonglong,110,20,1.986,1.780,646,609,2018
681,Lagonoy,330,60,5.367,4.798,1.610,1.572,2018
682,Laguindingan,110,20,2.048,1.789,919,974,2018
683,Lake Sebu,470,80,6.858,6.342,1.667,1.668,2018
684,Lakewood,150,50,2.038,1.895,680,791,2018
685,Lala,290,20,6.095,5.429,1.832,2.031,2018
686,La Libertad (NR),270,20,3.126,2.862,1.246,1.374,2018
687,La Libertad (ZN),100,10,675,581,227,242,2018
688,Lallo,310,40,3.331,2.999,1.549,1.488,2018
689,Lambayong,280,80,5.334,5.077,2.048,2.141,2018
690,Lambunao,540,50,6.188,5.589,3.109,2.950,2018
691,Lamitan,420,70,7.922,7.588,1.798,2.154,2018
692,Lamut,230,70,2.182,1.945,795,929,2018
693,Langiden,50,10,236,217,98,81,2018
694,Languyan,280,20,2.005,1.886,192,208,2018
695,Lantapan,180,20,6.014,5.523,1.160,1.280,2018
696,Lantawan,310,30,2.723,2.572,435,469,2018
697,Lanuza,130,50,1.106,1.001,529,496,2018
698,Laoac,140,50,2.181,1.856,860,808,2018
699,Laoag,340,70,6.037,5.658,3.760,3.932,2018
700,Laoang,540,130,5.651,5.010,2.881,2.965,2018
701,La Paz (AA),140,20,1.108,1.124,363,310,2018
702,La Paz (AS),280,20,2.988,2.912,689,739,2018
703,La Paz (LE),290,30,1.807,1.717,861,923,2018
704,La Paz (TC),210,30,4.924,4.389,1.680,1.642,2018
705,Lapinig,130,20,1.114,1.068,560,573,2018
706,Lapu Lapu,440,250,30.965,28.761,14.513,15.068,2018
707,Lapuyan,270,50,2.602,2.417,1.146,1.182,2018
708,Larena,80,20,732,634,234,177,2018
709,Lasam,250,50,2.703,2.515,1.148,1.180,2018
710,Las Navas,540,90,4.057,3.719,1.707,1.734,2018
711,Las Nieves,260,90,3.117,2.783,1.399,1.465,2018
712,Las Pinas,220,130,31.585,29.716,16.525,16.854,2018
713,La Trinidad,230,70,5.569,5.183,2.067,2.312,2018
714,Laua-An,270,30,2.082,1.838,1.059,1.063,2018
715,Laur,170,30,2.567,2.432,935,978,2018
716,Laurel,190,10,2.783,2.630,1.394,1.394,2018
717,Lavezares,260,20,2.722,2.440,960,982,2018
718,Lawaan,70,20,1.065,978,543,502,2018
719,Lazi,150,40,1.563,1.400,863,861,2018
720,Lebak,390,100,8.329,7.693,2.187,2.471,2018
721,Leganes,110,30,2.497,2.190,1.273,1.211,2018
722,Legazpi,440,130,14.721,13.425,6.150,6.013,2018
723,Lemery (BS),250,40,6.537,6.025,4.157,3.983,2018
724,Lemery (IO),280,30,2.636,2.295,1.104,1.110,2018
725,Leon,330,60,3.522,3.149,1.824,1.686,2018
726,Leyte,300,30,4.043,3.699,1.206,1.323,2018
727,Lezo,80,20,932,838,329,287,2018
728,Lian,150,20,3.788,3.449,1.160,1.161,2018
729,Lianga,180,40,2.603,2.416,1.096,1.084,2018
730,Libacao,290,60,2.493,2.412,1.214,1.223,2018
731,Libagon,80,20,1.159,1.001,536,504,2018
732,Libertad (AE),150,20,1.277,1.184,654,641,2018
733,Libertad (MO),80,10,1.040,945,559,490,2018
734,Libjo,170,70,1.700,1.530,833,818,2018
735,Libmanan,620,180,10.035,8.898,4.120,4.135,2018
736,Libon,450,130,6.908,6.117,3.675,3.691,2018
737,Libona,220,20,3.641,3.248,1.340,1.387,2018
738,Libungan,290,70,4.053,3.709,1.690,1.708,2018
739,Licab,130,20,1.922,1.824,812,809,2018
740,Licuan-Baay,130,10,343,319,77,76,2018
741,Lidlidda,50,10,274,228,163,149,2018
742,Ligao,550,120,10.232,9.003,5.186,5.653,2018
743,Lila,100,10,671,570,505,476,2018
744,Liliw,80,10,2.080,2.036,727,721,2018
745,Liloan (CU),150,60,8.259,7.669,3.258,3.127,2018
746,Liloan (SL),230,30,1.855,1.660,964,875,2018
747,Liloy,380,30,3.557,3.200,1.711,1.725,2018
748,Limasawa,50,10,425,344,259,242,2018
749,Limay,130,30,4.631,4.323,2.584,2.329,2018
750,Linamon,70,10,1.491,1.327,327,283,2018
751,Linapacan,120,30,1.635,1.496,516,573,2018
752,Lingayen,320,60,7.879,7.351,4.804,4.627,2018
753,Lingig,420,50,3.132,2.873,1.012,983,2018
754,Lipa,670,180,22.403,20.604,10.057,10.131,2018
755,Llanera,230,50,2.626,2.340,1.003,942,2018
756,Llorente,220,20,1.774,1.544,898,916,2018
757,Loay,120,10,1.181,1.013,212,181,2018
758,Lobo,230,50,3.025,2.633,1.238,1.187,2018
759,Loboc,160,30,1.170,970,567,532,2018
760,Looc (OM),80,20,678,660,285,240,2018
761,Looc (RN),130,20,1.936,1.740,1.068,990,2018
762,Loon,390,40,3.076,2.735,884,848,2018
763,Lope De Vega,240,10,1.404,1.297,463,514,2018
764,Lopez,580,140,7.627,6.986,3.201,3.149,2018
765,Lopez Jaena,280,20,1.992,1.789,455,459,2018
766,Loreto (AS),390,110,4.658,4.322,1.747,1.865,2018
767,Loreto (DI),100,30,859,785,375,352,2018
768,Los Banos,130,60,6.766,6.364,3.847,3.721,2018
769,Luba,150,20,508,449,113,97,2018
770,Lubang,150,40,1.331,1.148,799,675,2018
771,Lubao,420,140,10.436,9.322,5.446,5.140,2018
772,Lubuagan,150,10,709,660,106,97,2018
773,Lucban,130,20,3.216,3.006,1.120,1.102,2018
774,Lucena,440,110,20.579,19.180,8.977,9.411,2018
775,Lugait,70,10,1.527,1.412,710,741,2018
776,Lugus,170,10,1.675,1.691,126,175,2018
777,Luisiana,90,20,1.342,1.185,226,213,2018
778,Lumba-Bayabao,280,40,4.012,5.062,1.198,1.460,2018
779,Lumbaca-Unayan,70,0,761,850,0,0,2018
780,Lumban,90,10,2.064,1.946,615,628,2018
781,Lumbatan,170,40,1.325,1.343,522,700,2018
782,Lumbayanague,240,10,1.944,2.156,147,215,2018
783,Luna (AO),230,60,1.520,1.375,785,766,2018
784,Luna (IA),100,30,1.238,1.230,645,607,2018
785,Luna (LU),200,60,2.384,2.138,1.225,1.095,2018
786,Lupao,210,30,2.957,2.727,1.348,1.452,2018
787,Lupi,330,50,3.077,2.738,1.146,1.208,2018
788,Lupon,350,100,5.448,5.126,2.243,2.483,2018
789,Lutayan,180,30,3.686,3.548,915,1.159,2018
790,Luuk,180,20,1.630,1.604,460,684,2018
791,Maasim,310,150,6.094,5.707,2.073,2.318,2018
792,Maasin (IO),310,70,2.778,2.543,1.307,1.201,2018
793,Maasin (SL),620,180,5.477,4.959,2.641,2.220,2018
794,Ma-Ayon,320,60,3.310,2.841,1.877,1.743,2018
795,Mabalacat,400,140,15.642,14.394,7.125,6.871,2018
796,Mabinay,500,140,7.406,6.840,2.841,3.225,2018
797,Mabini (BS),180,30,2.576,2.378,1.216,1.125,2018
798,Mabini (BL),220,50,2.194,1.924,915,919,2018
799,Mabini (CV),160,40,3.355,2.989,1.589,1.493,2018
800,Mabini (PS),180,50,1.943,1.751,889,760,2018
801,Mabitac,70,30,1.664,1.514,627,595,2018
802,Mabuhay,190,20,2.241,2.066,693,765,2018
803,Macabebe,280,80,5.022,4.557,2.771,2.653,2018
804,Macalelon,180,20,2.317,1.930,694,747,2018
805,Macarthur,280,20,1.914,1.795,918,897,2018
806,Maco,350,70,6.286,5.599,2.741,2.870,2018
807,Maconacon,20,10,295,255,126,135,2018
808,Macrohon,210,30,1.987,1.753,950,832,2018
809,Madalag,290,60,1.426,1.260,839,734,2018
810,Madalum,160,20,1.090,1.157,366,491,2018
811,Madamba,130,20,1.600,1.661,526,644,2018
812,Maddela,330,80,2.762,2.567,1.445,1.452,2018
813,Madrid,130,20,1.274,1.147,640,639,2018
814,Madridejos,140,40,3.597,3.279,2.102,2.080,2018
815,Magalang,300,80,7.223,6.688,5.122,5.123,2018
816,Magallanes (AN),100,20,1.795,1.680,772,794,2018
817,Magallanes (CE),100,20,1.447,1.292,362,342,2018
818,Magallanes (SO),280,80,3.568,3.051,1.960,1.840,2018
819,Magarao,70,30,2.055,1.891,826,776,2018
820,Magdalena,60,20,2.022,1.843,792,754,2018
821,Magdiwang,100,20,1.301,1.160,700,661,2018
822,Magpet,420,150,4.981,4.584,1.880,1.824,2018
823,Magsaysay (DS),260,50,4.710,4.195,1.378,1.442,2018
824,Magsaysay (LN),80,30,858,792,321,295,2018
825,Magsaysay (MO),260,60,3.103,2.855,1.193,1.207,2018
826,Magsaysay (OM),330,40,3.738,3.569,1.520,1.637,2018
827,Magsaysay (PN),130,30,956,821,437,360,2018
828,Magsingal,190,30,2.062,1.824,726,631,2018
829,Maguing,170,40,2.291,2.608,681,735,2018
830,Mahaplag,290,30,2.533,2.444,1.325,1.265,2018
831,Mahatao,20,10,81,89,63,59,2018
832,Mahayag,340,60,3.738,3.539,1.492,1.563,2018
