PSGC,Region/ Province,Municipality/City,Poverty Incidence,Standard Error,Coefficient of Variation,90% confidence interval min,90% confidence interval max
31418,Bulacan,Pulilan,4.6,0.7,15.9,3.4,5.8
31419,Bulacan,San Idelfonso,5.5,0.5,9.4,4.7,6.4
31420,Bulacan,San Jose Del Monte City,4.6,0.6,13.8,3.6,5.7
31421,Bulacan,San Miguel,6.5,0.7,10.6,5.4,7.7
31422,Bulacan,San Rafael,4.5,0.6,12.6,3.5,5.4
31423,Bulacan,Santa Maria,4.6,0.9,20.3,3.1,6.1
31424,Bulacan,Doña Remedios Trinidad,11.4,2.1,18.5,8.0,14.9
34901,Nueva Ecija,Aliaga,6.7,0.8,11.6,5.4,8.0
34902,Nueva Ecija,Bongabon,5.5,0.9,16.1,4.0,6.9
34903,Nueva Ecija,Cabanatuan City,3.1,0.4,11.5,2.5,3.7
34904,Nueva Ecija,Cabiao,5.7,0.7,12.4,4.5,6.9
34905,Nueva Ecija,Carranglan,7.7,1.2,15.8,5.7,9.7
34906,Nueva Ecija,Cuyapo,5.9,0.6,10.7,4.9,6.9
34907,Nueva Ecija,Gabaldon,7.1,1.2,17.3,5.1,9.2
34908,Nueva Ecija,Gapan City,5.4,0.7,12.2,4.3,6.4
34909,Nueva Ecija,General Mamerto Natividad,6.7,1.0,14.9,5.1,8.4
34910,Nueva Ecija,General Tinio,5.1,1.4,28.2,2.7,7.5
34911,Nueva Ecija,Guimba,4.3,0.6,13.0,3.4,5.2
34912,Nueva Ecija,Jaen,4.1,0.7,17.9,2.9,5.4
34913,Nueva Ecija,Laur,5.7,0.9,16.0,4.2,7.2
34914,Nueva Ecija,Licab,7.7,1.2,15.7,5.7,9.6
34915,Nueva Ecija,Llanera,3.8,0.7,19.1,2.6,5.0
34916,Nueva Ecija,Lupao,5.8,1.0,17.3,4.1,7.4
34917,Nueva Ecija,Muñoz City,5.5,0.6,11.1,4.5,6.5
34918,Nueva Ecija,Nampicuan,6.6,1.0,14.8,5.0,8.2
34919,Nueva Ecija,Palayan City,5.8,0.8,14.1,4.5,7.2
34920,Nueva Ecija,Pantabangan,16.0,1.1,6.6,14.3,17.8
34921,Nueva Ecija,Peñaranda,4.3,1.0,24.0,2.6,5.9
34922,Nueva Ecija,Quezon,5.9,1.0,17.4,4.2,7.6
34923,Nueva Ecija,Rizal,7.4,1.0,13.7,5.7,9.0
34924,Nueva Ecija,San Antonio,5.8,1.2,20.3,3.9,7.7
34925,Nueva Ecija,San Isidro,4.6,0.9,18.4,3.2,6.0
34926,Nueva Ecija,San Jose City,4.6,0.6,13.7,3.6,5.7
34927,Nueva Ecija,San Leonardo,5.1,0.9,17.3,3.7,6.6
34928,Nueva Ecija,Santa Rosa,4.0,0.5,13.2,3.1,4.9
34929,Nueva Ecija,Santo Domingo,4.6,1.0,20.9,3.0,6.2
34930,Nueva Ecija,Talavera,4.4,0.5,11.5,3.6,5.3
34931,Nueva Ecija,Talugtug,5.3,0.7,13.6,4.1,6.5
34932,Nueva Ecija,Zaragoza,3.8,0.7,17.3,2.7,4.9
35402,Nueva Ecija,Apalit,4.7,1.1,24.0,2.8,6.6
35403,Nueva Ecija,Arayat,6.4,0.8,12.5,5.1,7.7
35404,Nueva Ecija,Bacolor,3.6,0.7,19.6,2.5,4.8
35405,Nueva Ecija,Candaba,7.0,0.7,10.2,5.8,8.2
35406,Nueva Ecija,Floridablanca,2.9,0.4,14.0,2.3,3.6
35407,Nueva Ecija,Guagua,3.6,0.5,15.0,2.7,4.5
35408,Nueva Ecija,Lubao,3.6,0.4,11.4,2.9,4.3
35409,Nueva Ecija,Mabalacat City,4.4,0.7,15.0,3.3,5.5
35410,Nueva Ecija,Macabebe,5.5,0.7,13.1,4.3,6.7
35411,Nueva Ecija,Magalang,5.0,1.0,20.0,3.3,6.6
35412,Nueva Ecija,Masantol,10.2,1.0,9.4,8.7,11.8
35413,Nueva Ecija,Mexico,4.6,0.8,16.7,3.3,5.9
35414,Nueva Ecija,Minalin,6.2,0.9,14.5,4.7,7.6
35415,Nueva Ecija,Porac,5.6,0.8,13.8,4.3,6.9
35416,Nueva Ecija,San Fernando City,3.6,0.5,14.7,2.7,4.5
35417,Nueva Ecija,San Luis,6.0,1.0,16.0,4.4,7.6
35418,Nueva Ecija,San Simon,5.6,0.9,16.9,4.0,7.1
35419,Nueva Ecija,Santa Ana,6.2,1.1,17.2,4.4,7.9
35420,Nueva Ecija,Santa Rita,4.1,1.0,25.1,2.4,5.8
35421,Nueva Ecija,Santo Tomas,4.3,1.1,25.2,2.5,6.0
35422,Nueva Ecija,Sasmuan,6.1,1.0,16.8,4.4,7.8
36901,Tarlac,Anao,5.2,1.0,19.6,3.5,6.9
36902,Tarlac,Bamban,10.3,1.8,17.6,7.3,13.3
36903,Tarlac,Camiling,6.3,0.6,10.1,5.2,7.3
36904,Tarlac,Capas,8.7,1.4,16.0,6.4,11.0
36905,Tarlac,Concepcion,9.9,0.9,8.9,8.4,11.3
36906,Tarlac,Gerona,6.1,0.8,12.2,4.9,7.4
36907,Tarlac,La Paz,10.4,1.2,11.6,8.4,12.3
36908,Tarlac,Mayantoc,6.9,0.9,13.4,5.4,8.4
36909,Tarlac,Moncada,7.3,0.9,12.0,5.8,8.7
36910,Tarlac,Paniqui,4.6,0.7,15.1,3.4,5.7
36911,Tarlac,Pura,5.6,0.9,15.4,4.2,7.0
36912,Tarlac,Ramos,8.5,1.7,20.3,5.6,11.3
36913,Tarlac,San Clemente,5.1,1.0,20.4,3.4,6.8
36914,Tarlac,San Manuel,9.9,1.6,15.9,7.3,12.5
36915,Tarlac,Santa Ignacia,5.5,0.9,16.5,4.0,7.0
36916,Tarlac,Tarlac City,5.2,0.6,11.9,4.2,6.3
36917,Tarlac,Victoria,8.5,1.0,11.5,6.9,10.1
36918,Tarlac,San Jose,12.1,1.8,14.9,9.1,15.0
37101,Zambales,Botolan,12.8,1.4,11.0,10.5,15.1
37102,Zambales,Cabangan,10.0,1.3,13.3,7.8,12.2
37103,Zambales,Candelaria,9.8,1.1,11.4,8.0,11.7
37104,Zambales,Castillejos,7.0,1.2,17.5,5.0,9.1
37105,Zambales,Iba,6.0,1.3,22.3,3.8,8.2
37106,Zambales,Masinloc,9.6,1.3,13.8,7.4,11.8
37108,Zambales,Palauig,10.3,1.5,14.8,7.8,12.8
37109,Zambales,San Antonio,7.3,1.2,16.9,5.3,9.3
37110,Zambales,San Felipe,9.3,1.6,17.0,6.7,11.9
37111,Zambales,San Marcelino,9.1,1.2,13.5,7.1,11.1
37112,Zambales,San Narciso,5.0,1.0,19.0,3.4,6.6
37113,Zambales,Santa Cruz,9.6,1.2,12.6,7.6,11.6
37114,Zambales,Subic,10.3,1.5,15.0,7.7,12.8
37701,Aurora,Baler,7.3,1.4,18.5,5.1,9.6
37702,Aurora,Casiguran,12.6,1.5,11.7,10.2,15.1
37703,Aurora,Dilasag,12.9,1.9,15.1,9.7,16.1
37704,Aurora,Dinalungan,14.7,2.4,15.9,10.9,18.6
37705,Aurora,Dingalan,12.7,2.1,16.8,9.2,16.3
37706,Aurora,Dipaculao,11.4,1.4,12.4,9.0,13.7
37707,Aurora,Maria Aurora,12.0,1.1,9.4,10.1,13.8
37708,Aurora,San Luis,10.9,1.6,14.3,8.4,13.5
41001,Batangas,Agoncillo,12.5,1.8,14.7,9.5,15.5
41002,Batangas,Alitagtag,16.0,2.4,15.1,12.0,20.0
41003,Batangas,Balayan,10.4,1.3,12.0,8.4,12.5
41004,Batangas,Balete,12.7,2.6,20.3,8.4,16.9
41005,Batangas,Batangas City,8.6,0.8,9.5,7.2,9.9
41006,Batangas,Bauan,7.6,1.0,12.6,6.0,9.2
41007,Batangas,Calaca,10.3,1.4,13.6,8.0,12.6
41008,Batangas,Calatagan,11.7,1.9,16.6,8.5,14.9
41009,Batangas,Cuenca,11.7,1.8,15.8,8.6,14.7
41010,Batangas,Ibaan,9.3,1.4,15.1,7.0,11.6
41011,Batangas,Laurel,13.1,1.9,14.1,10.1,16.2
41012,Batangas,Lemery,10.7,1.2,11.4,8.7,12.7
41013,Batangas,Lian,10.7,1.8,16.5,7.8,13.6
41014,Batangas,Lipa City,10.0,0.9,8.5,8.6,11.4
41015,Batangas,Lobo,20.5,2.9,14.0,15.8,25.3
41016,Batangas,Mabini,9.8,1.2,12.3,7.8,11.8
41017,Batangas,Malvar,9.4,1.7,17.8,6.7,12.2
41018,Batangas,Mataas Na Kahoy,9.2,1.5,16.6,6.7,11.7
41019,Batangas,Nasugbu,13.2,1.7,12.8,10.4,16.0
41020,Batangas,Padre Garcia,20.9,2.8,13.5,16.3,25.6
41021,Batangas,Rosario,11.9,1.4,11.4,9.7,14.2
41022,Batangas,San Jose,9.2,1.3,14.4,7.1,11.4
41023,Batangas,San Juan,13.0,1.4,11.0,10.7,15.4
41024,Batangas,San Luis,15.7,2.4,15.1,11.8,19.6
41025,Batangas,San Nicolas,19.6,2.8,14.3,15.0,24.2
41026,Batangas,San Pascual,7.5,1.0,13.2,5.9,9.2
41027,Batangas,Santa Teresita,10.8,1.7,15.6,8.0,13.5
41028,Batangas,Santo Tomas,8.4,1.3,15.3,6.3,10.5
41029,Batangas,Taal,8.8,1.1,12.9,7.0,10.7
41030,Batangas,Talisay,10.7,1.7,15.5,8.0,13.5
41031,Batangas,Tanauan City,8.7,1.0,11.6,7.1,10.4
41032,Batangas,Taysan,11.8,1.6,13.5,9.2,14.4
41033,Batangas,Tingloy,19.1,3.3,17.2,13.7,24.5
41034,Batangas,Tuy,11.9,1.7,14.3,9.1,14.7
42101,Cavite,Alfonso,5.3,0.9,16.2,3.9,6.7
42102,Cavite,Amadeo,4.7,0.8,16.8,3.4,6.0
42103,Cavite,Bacoor City,3.9,0.5,12.1,3.1,4.7
42104,Cavite,Carmona,4.0,1.2,29.7,2.1,6.0
42105,Cavite,Cavite City,5.7,0.7,12.9,4.5,6.9
42106,Cavite,Dasmariñas City,5.3,0.5,9.7,4.5,6.2
42107,Cavite,General Emilio Aguinaldo,13.1,2.2,16.8,9.5,16.7
42108,Cavite,General Trias City,3.8,0.9,24.3,2.3,5.3
42109,Cavite,Imus City,2.7,0.3,10.7,2.2,3.2
42110,Cavite,Indang,4.0,0.6,15.1,3.0,5.0
42111,Cavite,Kawit,5.7,1.0,18.0,4.0,7.3
42112,Cavite,Magallanes,13.8,2.5,18.1,9.7,17.9
42113,Cavite,Maragondon,6.1,1.1,18.4,4.3,8.0
42114,Cavite,Mendez (Mendez-Nuñez),9.2,1.5,16.7,6.7,11.8
42115,Cavite,Naic,6.0,1.0,15.9,4.5,7.6
42116,Cavite,Noveleta,4.1,0.9,21.4,2.6,5.5
42117,Cavite,Rosario,5.2,0.9,16.7,3.8,6.6
42118,Cavite,Silang,5.8,0.7,12.1,4.7,7.0
42119,Cavite,Tagaytay City,5.4,0.8,15.7,4.0,6.7
42120,Cavite,Tanza,5.2,0.9,16.6,3.8,6.7
42121,Cavite,Ternate,11.4,2.8,24.7,6.8,16.1
42122,Cavite,Trece Martires City,5.9,1.4,24.3,3.5,8.2
42123,Cavite,Gen. Mariano Alvarez,6.4,0.9,13.8,4.9,7.8
43401,Laguna,Alaminos,2.6,0.6,23.3,1.6,3.6
43402,Laguna,Bay,2.2,0.6,25.1,1.3,3.1
43403,Laguna,Biñan City,1.7,0.5,31.4,0.8,2.6
43404,Laguna,Cabuyao City,1.5,0.5,30.3,0.8,2.3
43405,Laguna,Calamba City,1.9,0.3,15.5,1.4,2.4
43406,Laguna,Calauan,4.0,1.0,25.7,2.3,5.8
43407,Laguna,Cavinti,2.7,0.7,27.1,1.5,3.8
43408,Laguna,Famy,2.8,0.9,32.0,1.3,4.2
43409,Laguna,Kalayaan,5.1,2.2,44.3,1.4,8.7
43410,Laguna,Liliw,2.1,0.5,23.3,1.3,2.9
43411,Laguna,Los Baños,1.6,0.4,26.8,0.9,2.3
43412,Laguna,Luisiana,4.5,1.1,25.5,2.6,6.4
43413,Laguna,Lumban,2.3,0.7,29.3,1.2,3.4
43414,Laguna,Mabitac,3.0,0.8,27.4,1.6,4.3
43415,Laguna,Magdalena,7.8,1.8,22.4,4.9,10.7
43416,Laguna,Majayjay,3.1,0.6,19.9,2.1,4.1
43417,Laguna,Nagcarlan,2.4,0.5,20.7,1.6,3.2
43418,Laguna,Paete,5.4,1.7,31.5,2.6,8.2
43419,Laguna,Pagsanjan,2.3,0.6,24.4,1.4,3.3
43420,Laguna,Pakil,3.3,0.8,23.4,2.1,4.6
43421,Laguna,Pangil,5.8,1.7,30.0,2.9,8.7
43422,Laguna,Pila,2.4,0.5,22.4,1.5,3.2
43423,Laguna,Rizal,1.6,0.5,30.1,0.8,2.3
43424,Laguna,San Pablo City,2.1,0.3,12.4,1.7,2.5
43425,Laguna,San Pedro City,2.0,0.4,22.1,1.3,2.7
43426,Laguna,Santa Cruz,2.0,0.5,22.7,1.2,2.7
43427,Laguna,Santa Maria,6.2,1.4,22.3,3.9,8.5
43428,Laguna,Santa Rosa City,1.3,0.4,31.0,0.6,2.0
43429,Laguna,Siniloan,3.0,0.7,22.2,1.9,4.1
43430,Laguna,Victoria,3.8,1.1,28.5,2.0,5.5
45601,Quezon,Agdangan,14.0,2.8,20.1,9.4,18.6
45602,Quezon,Alabat,15.5,2.6,16.9,11.2,19.7
45603,Quezon,Atimonan,6.1,1.0,15.9,4.5,7.7
45605,Quezon,Buenavista,24.9,2.9,11.8,20.1,29.7
45606,Quezon,Burdeos,22.0,3.5,15.8,16.3,27.7
45607,Quezon,Calauag,9.8,1.3,13.1,7.7,11.9
45608,Quezon,Candelaria,6.2,0.9,14.8,4.7,7.7
45610,Quezon,Catanauan,11.3,1.5,13.0,8.9,13.8
45615,Quezon,Dolores,6.3,1.4,22.2,4.0,8.7
45616,Quezon,General Luna,18.4,2.6,14.1,14.1,22.6
45617,Quezon,General Nakar,18.6,3.5,18.8,12.9,24.3
45618,Quezon,Guinayangan,17.0,2.3,13.7,13.2,20.9
45619,Quezon,Gumaca,7.7,1.0,13.5,6.0,9.4
45620,Quezon,Infanta,7.6,1.2,16.0,5.6,9.6
45621,Quezon,Jomalig,25.8,5.3,20.7,17.0,34.5
45622,Quezon,Lopez,9.1,1.2,13.1,7.1,11.0
45623,Quezon,Lucban,4.0,0.8,19.3,2.7,5.3
45625,Quezon,Macalelon,19.2,2.3,11.7,15.5,22.9
45627,Quezon,Mauban,8.0,1.4,17.6,5.7,10.3
45628,Quezon,Mulanay,21.1,2.8,13.4,16.5,25.8
45629,Quezon,Padre Burgos,8.0,1.4,17.5,5.7,10.3
45630,Quezon,Pagbilao,6.3,1.1,17.4,4.5,8.1
45631,Quezon,Panukulan,22.3,3.8,17.1,16.0,28.6
45632,Quezon,Patnanungan,24.1,6.0,24.8,14.3,34.0
45633,Quezon,Perez,21.5,3.6,16.8,15.6,27.4
45634,Quezon,Pitogo,8.7,1.6,18.3,6.1,11.3
45635,Quezon,Plaridel,7.3,1.8,24.1,4.4,10.2
45636,Quezon,Polillo,10.7,1.7,16.0,7.9,13.6
45637,Quezon,Quezon,17.0,3.0,17.6,12.1,21.9
45638,Quezon,Real,8.7,1.6,18.4,6.1,11.3
45639,Quezon,Sampaloc,12.6,2.2,17.8,8.9,16.2
45640,Quezon,San Andres,20.7,4.4,21.0,13.5,27.8
45641,Quezon,San Antonio,16.5,2.5,15.1,12.4,20.6
45642,Quezon,San Francisco (Aurora),24.2,3.5,14.6,18.4,29.9
45644,Quezon,San Narciso,23.2,3.2,13.8,18.0,28.5
45645,Quezon,Sariaya,6.3,1.0,15.8,4.7,8.0
45646,Quezon,Tagkawayan,20.9,2.6,12.4,16.6,25.2
45647,Quezon,Tayabas City,6.3,0.9,14.5,4.8,7.8
45648,Quezon,Tiaong,6.8,1.2,17.1,4.9,8.7
45649,Quezon,Unisan,14.6,2.4,16.7,10.6,18.7
45801,Rizal,Angono,4.1,1.2,30.5,2.0,6.1
45802,Rizal,Antipolo City,5.4,0.9,17.1,3.9,6.9
45803,Rizal,Baras,6.4,2.6,40.0,2.2,10.6
45804,Rizal,Binangonan,3.8,0.8,19.8,2.6,5.1
45805,Rizal,Cainta,3.7,1.3,33.8,1.6,5.8
45806,Rizal,Cardona,4.7,1.0,22.0,3.0,6.4
45807,Rizal,Jala-Jala,12.4,2.4,19.2,8.5,16.3
45808,Rizal,Rodriguez (Montalban),5.6,1.8,31.5,2.7,8.5
45809,Rizal,Morong,3.8,1.1,28.6,2.0,5.6
45810,Rizal,Pililla,5.1,1.4,27.0,2.9,7.4
45811,Rizal,San Mateo,4.2,0.9,21.1,2.8,5.7
45812,Rizal,Tanay,6.4,1.4,22.6,4.0,8.7
45813,Rizal,Taytay,4.6,1.4,30.2,2.3,6.9
45814,Rizal,Teresa,4.1,1.3,31.6,2.0,6.3
174001,Marinduque,Boac,13.4,1.2,8.8,11.5,15.4
174002,Marinduque,Buenavista,19.7,3.1,15.9,14.5,24.8
174003,Marinduque,Gasan,15.7,2.0,12.8,12.4,18.9
174004,Marinduque,Mogpog,12.1,1.5,12.3,9.7,14.5
174005,Marinduque,Santa Cruz,13.5,1.4,10.0,11.3,15.8
174006,Marinduque,Torrijos,20.3,2.3,11.4,16.5,24.2
175101,Occidental Mindoro,Abra de Ilog,20.5,3.6,17.4,14.6,26.3
175102,Occidental Mindoro,Calintaan,19.0,3.4,18.1,13.3,24.6
175103,Occidental Mindoro,Looc,13.3,2.9,21.5,8.6,18.0
175104,Occidental Mindoro,Lubang,9.5,2.1,21.7,6.1,12.9
175105,Occidental Mindoro,Magsaysay,21.0,3.2,15.1,15.8,26.2
175106,Occidental Mindoro,Mamburao,13.2,2.7,20.4,8.7,17.6
175107,Occidental Mindoro,Paluan,22.6,3.9,17.3,16.2,29.1
175108,Occidental Mindoro,Rizal,21.3,3.3,15.4,15.9,26.7
175109,Occidental Mindoro,Sablayan,12.8,2.2,17.2,9.2,16.5
175110,Occidental Mindoro,San Jose,15.3,2.0,13.1,12.0,18.6
175111,Occidental Mindoro,Santa Cruz,16.8,3.3,19.8,11.3,22.3
175201,Oriental Mindoro,Baco,16.8,1.8,10.8,13.8,19.8
175202,Oriental Mindoro,Bansud,16.2,3.0,18.3,11.3,21.1
175203,Oriental Mindoro,Bongabong,16.5,1.8,10.9,13.6,19.4
175204,Oriental Mindoro,Bulalacao,23.9,3.8,15.8,17.7,30.2
175205,Oriental Mindoro,Calapan City,7.2,0.7,9.9,6.0,8.3
175206,Oriental Mindoro,Gloria,14.3,1.5,10.6,11.8,16.8
175207,Oriental Mindoro,Mansalay,23.3,3.1,13.4,18.2,28.4
175208,Oriental Mindoro,Naujan,12.4,1.1,8.7,10.6,14.2
175209,Oriental Mindoro,Pinamalayan,11.4,1.5,12.8,9.0,13.8
175210,Oriental Mindoro,Pola,14.9,2.1,14.1,11.4,18.3
175211,Oriental Mindoro,Puerto Galera,13.3,2.4,18.3,9.3,17.3
175212,Oriental Mindoro,Roxas,16.4,2.1,12.5,13.1,19.8
175213,Oriental Mindoro,San Teodoro,16.5,3.1,18.6,11.5,21.6
175214,Oriental Mindoro,Socorro,13.7,1.7,12.2,11.0,16.5
175215,Oriental Mindoro,Victoria,11.7,1.5,12.4,9.3,14.1
175301,Palawan,Aborlan,13.3,2.3,17.1,9.6,17.1
175302,Palawan,Agutaya,15.2,4.5,29.3,7.9,22.6
175303,Palawan,Araceli,19.2,2.8,14.3,14.7,23.7
175304,Palawan,Balabac,29.7,4.5,15.0,22.4,37.1
175305,Palawan,Bataraza,15.3,2.3,15.3,11.4,19.1
175306,Palawan,Brooke's Point,16.7,2.0,12.0,13.4,20.0
175307,Palawan,Busuanga,17.4,2.5,14.5,13.3,21.6
175308,Palawan,Cagayancillo,23.2,4.1,17.5,16.5,29.8
175309,Palawan,Coron,17.1,2.3,13.5,13.3,20.8
175310,Palawan,Cuyo,11.4,1.9,16.9,8.2,14.5
175311,Palawan,Dumaran,15.5,2.4,15.4,11.6,19.5
175312,Palawan,El Nido,16.3,2.1,12.6,13.0,19.7
175313,Palawan,Linapacan,21.8,3.3,15.0,16.5,27.2
175314,Palawan,Magsaysay,11.9,2.4,20.1,8.0,15.8
175315,Palawan,Narra,10.3,1.5,14.8,7.8,12.9
175317,Palawan,Quezon,18.8,2.7,14.5,14.3,23.3
175318,Palawan,Roxas,10.8,1.3,12.4,8.6,13.0
175319,Palawan,San Vicente,18.9,3.2,16.9,13.7,24.2
175320,Palawan,Taytay,17.9,2.2,12.1,14.3,21.5
175322,Palawan,Culion,15.8,2.6,16.6,11.5,20.1
175323,Palawan,Rizal,20.1,3.3,16.5,14.7,25.6
175324,Palawan,Sofronio Española,17.4,3.1,17.9,12.3,22.5
175901,Romblon,Alcantara,21.2,2.9,13.6,16.4,25.9
175902,Romblon,Banton,16.7,2.8,16.9,12.1,21.4
175903,Romblon,Cajidiocan,28.7,3.5,12.1,23.0,34.4
175904,Romblon,Calatrava,22.6,3.8,16.9,16.4,28.9
175905,Romblon,Concepcion,17.2,2.7,16.0,12.7,21.7
175906,Romblon,Corcuera,19.9,2.7,13.6,15.5,24.3
175907,Romblon,Looc,20.2,2.8,13.8,15.6,24.8
175908,Romblon,Magdiwang,26.1,3.9,14.9,19.7,32.4
175909,Romblon,Odiongan,9.6,1.4,14.3,7.4,11.9
175910,Romblon,Romblon,21.7,2.7,12.3,17.3,26.1
175911,Romblon,San Agustin,25.4,3.1,12.4,20.2,30.5
175912,Romblon,San Andres,21.8,2.9,13.1,17.1,26.5
175913,Romblon,San Fernando,29.3,3.7,12.6,23.2,35.3
175914,Romblon,San Jose,27.9,5.2,18.8,19.3,36.6
175915,Romblon,Santa Fe,26.5,3.6,13.5,20.7,32.4
175916,Romblon,Ferrol,20.3,4.1,20.4,13.5,27.0
175917,Romblon,Santa Maria,19.4,3.6,18.7,13.5,25.4
50501,Albay,Bacacay,31.5,2.2,7.1,27.8,35.2
50502,Albay,Camalig,21.1,2.0,9.3,17.8,24.3
50503,Albay,Daraga (Locsin),13.5,1.5,10.9,11.1,15.9
50504,Albay,Guinobatan,25.6,2.0,7.7,22.4,28.9
50505,Albay,Jovellar,37.5,3.2,8.6,32.2,42.9
50506,Albay,Legazpi City,13.8,1.3,9.1,11.7,15.8
50507,Albay,Libon,37.4,2.6,6.9,33.1,41.6
50508,Albay,Ligao City,23.1,1.6,6.9,20.4,25.7
50509,Albay,Malilipot,26.1,2.9,11.1,21.3,30.9
50510,Albay,Malinao,33.7,2.5,7.5,29.5,37.8
50511,Albay,Manito,37.2,3.5,9.3,31.5,42.9
50512,Albay,Oas,34.2,2.0,5.8,31.0,37.5
50513,Albay,Pio Duran,37.5,2.9,7.6,32.8,42.2
50514,Albay,Polangui,21.3,1.7,8.1,18.5,24.2
50515,Albay,Rapu-Rapu,42.7,2.7,6.2,38.3,47.1
50516,Albay,Santo Domingo,23.0,3.0,12.9,18.1,27.9
50517,Albay,Tabaco City,19.8,1.9,9.5,16.7,22.9
50518,Albay,Tiwi,23.6,2.8,11.9,19.0,28.2
51601,Camarines Norte,Basud,22.4,2.5,11.0,18.3,26.4
51602,Camarines Norte,Capalonga,38.7,3.1,8.1,33.6,43.9
51603,Camarines Norte,Daet,14.7,2.0,13.7,11.4,18.1
51604,Camarines Norte,San Lorenzo Ruiz,31.6,4.9,15.5,23.5,39.7
51605,Camarines Norte,Jose Panganiban,34.5,2.9,8.5,29.7,39.3
51606,Camarines Norte,Labo,25.1,2.0,8.1,21.7,28.4
51607,Camarines Norte,Mercedes,36.9,3.4,9.1,31.3,42.4
51608,Camarines Norte,Paracale,37.6,3.3,8.7,32.2,43.0
51609,Camarines Norte,San Vicente,27.2,4.4,16.2,20.0,34.5
51610,Camarines Norte,Santa Elena,35.8,4.2,11.7,28.9,42.7
