name,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,COVID-19 Testing Laboratory,DepEd Clinic,Dialysis Clinic,Drug Abuse Treatment and Rehabilitation Centers,Drug Testing Laboratory,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,Total,year
Aborlan,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,2021
Abra De Ilog,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Abucay,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Abulug,0,0,8,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,14,2021
Abuyog,0,0,17,4,0,0,0,0,0,0,2,1,0,0,0,0,2,0,26,2021
Adams,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Agdangan,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Aglipay,0,0,25,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30,2021
Agno,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2021
Agoncillo,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Agoo,0,0,14,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,19,2021
Aguilar,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,2021
Aguinaldo,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,2021
Agutaya,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Ajuy,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,2021
Akbar,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Alabat,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,2021
Alabel,0,0,13,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Alamada,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,2021
Alaminos (LA),0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Alaminos (PS),0,0,13,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,22,2021
Alang-Alang,0,0,7,3,0,0,0,0,0,0,2,0,1,1,0,0,1,0,15,2021
Al-Barka,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Albuera,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Alburquerque,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Alcala (CG),0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,17,2021
Alcala (PS),0,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,17,2021
Alcantara (CU),0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2021
Alcantara (RN),0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2021
Alcoy,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Alegria (CU),0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Alegria (SN),0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Aleosan,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,2021
Alfonso,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36,2021
Alfonso Castaneda,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Alfonso Lista,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24,2021
Aliaga,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2021
Alicia (BL),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alicia (IA),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alicia (ZS),0,0,48,5,0,0,0,0,0,0,1,3,1,0,0,0,3,0,61,2021
Alilem,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Alimodian,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2021
Alitagtag,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Allacapan,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2021
Allen,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2021
Almagro,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Almeria,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Aloguinsan,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Aloran,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Altavas,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Alubijid,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Amadeo,0,0,26,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,30,2021
Amai Manabilang,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Ambaguio,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Amlan,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Ampatuan,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Amulung,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,2021
Anahawan,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,2021
Anao,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Anda (BL),0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,2021
Anda (PS),0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,2021
Angadanan,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2021
Angat,0,0,13,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17,2021
Angeles,1,0,27,15,1,1,0,0,0,0,0,15,2,0,0,0,6,1,69,2021
Angono,0,0,9,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,15,2021
Anilao,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Anini-Y,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Antequera,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Antipas,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,15,2021
Antipolo,0,0,17,12,0,1,0,0,2,0,0,14,3,0,0,0,5,1,55,2021
Apalit,0,0,13,6,0,0,0,0,0,0,0,4,0,0,0,0,2,0,25,2021
Aparri,0,0,25,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,33,2021
Araceli,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Arakan,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,2021
Arayat,0,0,28,8,0,0,0,0,0,0,0,5,1,0,0,0,3,0,45,2021
Argao,0,0,40,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,44,2021
Aringay,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2021
Aritao,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25,2021
Aroroy,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,34,2021
Arteche,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Asingan,0,0,17,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,22,2021
Asipulo,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Asturias,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,29,2021
Asuncion,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,2021
Atimonan,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,12,2021
Atok,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,2021
Aurora (IA),0,0,28,5,0,0,0,0,0,0,1,1,1,0,0,0,2,0,38,2021
Aurora (ZR),0,0,28,5,0,0,0,0,0,0,1,1,1,0,0,0,2,0,38,2021
Ayungon,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2021
Baao,0,0,9,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2021
Babatngon,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Bacacay,0,0,11,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,16,2021
Bacarra,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2021
Baclayon,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Bacnotan,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,2021
Baco,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,2021
Bacolod (LN),0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,2021
Bacolod (NO),0,0,30,2,0,5,0,0,0,0,0,7,0,0,0,0,1,0,45,2021
Bacolod-Kalawi,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Bacolor,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,10,2021
Bacong,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,2021
Bacoor,0,0,54,17,0,0,0,0,0,0,0,10,0,0,0,0,7,1,89,2021
Bacuag,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Bacungan Leon B. Postigo,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,2021
Badian,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Badiangan,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Badoc,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Bagabag,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,2021
Bagac,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,2021
Bagamanoc,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Baganga,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,2021
Baggao,0,0,17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,2021
Bago,0,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39,2021
Baguio,0,1,0,1,0,2,0,0,1,0,0,7,1,0,0,0,17,0,30,2021
Bagulin,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Bagumbayan,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,2021
Bais,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,36,2021
Bakun,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Balabac,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Balabagan,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Balagtas,0,0,8,2,0,0,0,0,0,0,0,2,1,0,0,0,2,0,15,2021
Balamban,0,0,28,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,34,2021
Balanga,0,0,25,0,0,2,0,0,0,0,0,6,0,0,0,0,5,0,38,2021
Balangiga,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2021
Balangkayan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Balaoan,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,2021
Balasan,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2021
Balatan,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Balayan,0,0,22,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,28,2021
Balbalan,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,2021
Baleno,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,2021
Baler,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,11,2021
Balete (AK),0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Balete (BS),0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,2021
Baliangao,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Baliguian,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Balilihan,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Balindong,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,2021
Balingasag,0,0,30,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,33,2021
Balingoan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2021
Baliwag,0,0,24,7,0,0,0,0,0,0,0,7,0,0,0,0,4,0,42,2021
Ballesteros,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,9,2021
Baloi,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Balud,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,2021
Balungao,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,2021
Bamban,0,0,9,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,17,2021
Bambang,0,0,24,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,29,2021
Banate,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Banaue,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,2021
Banaybanay,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Banayoyo,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Banga (AK),0,0,32,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,38,2021
Banga (SC),0,0,32,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,38,2021
Bangar,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Bangued,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,11,2021
Bangui,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,2021
Bani,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,15,2021
Banisilan,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,2021
Banna,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Bansalan,0,0,27,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,34,2021
Bansud,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Bantay,0,0,28,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,33,2021
Bantayan Island,0,0,25,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,29,2021
Banton,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Baras (CT),0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2021
Baras (RL),0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,2021
Barbaza,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,2021
Barcelona,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,2021
Barili,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,18,2021
Barira,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Barlig,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,2021
Barobo,0,0,17,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,2021
Barotac Nuevo,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,2021
Barotac Viejo,0,0,24,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,28,2021
Baroy,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,2021
Barugo,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Basay,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Basco,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2021
Basey,0,0,9,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,2021
Basilisa,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Basista,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Basud (CN),0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Batac,0,0,10,1,0,2,0,0,0,0,0,2,1,0,0,0,1,0,17,2021
Batad,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Batan,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Batangas,0,0,83,6,0,3,0,0,0,0,0,6,0,0,0,0,6,0,104,2021
Bataraza,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25,2021
Bato (CS),0,0,31,5,0,0,0,0,0,1,2,0,1,0,0,0,4,0,44,2021
Bato (CT),0,0,31,5,0,0,0,0,0,1,2,0,1,0,0,0,4,0,44,2021
Bato (LE),0,0,31,5,0,0,0,0,0,1,2,0,1,0,0,0,4,0,44,2021
Batuan (BL),0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2021
Batuan (MS),0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2021
Bauan,0,0,25,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,32,2021
Bauang,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,2021
Bauko,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,27,2021
Baungon,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Bautista,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Bay,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,18,2021
Bayabas,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Bayambang,0,0,26,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,32,2021
Bayang,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Bayawan,0,0,39,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,43,2021
Baybay,0,0,20,4,1,0,0,1,0,1,3,1,2,0,0,0,1,0,34,2021
Bayog,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Bayombong,0,0,11,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,16,2021
Bayugan,0,0,19,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,25,2021
Belison,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Benito Soliven,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,2021
Besao,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,2021
Bien Unido,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2021
Bilar,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Biliran,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Binalbagan,0,0,20,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,2021
Binalonan,0,0,24,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,28,2021
Binangonan,0,0,40,6,0,0,0,0,0,0,0,3,1,0,0,0,4,0,54,2021
Bindoy,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,2021
Bingawan,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Binidayan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2021
Binmaley,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,2021
Binuangan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Biri,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2021
Bislig,0,0,35,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,42,2021
Binan,0,0,24,4,0,0,0,0,0,0,0,4,0,0,0,0,2,0,34,2021
Boac,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,9,2021
Bobon,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Bocaue,0,0,17,5,0,1,0,0,0,0,0,4,0,0,0,0,2,0,29,2021
Bogo,0,0,19,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,25,2021
Bokod,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,2021
Bolinao,0,0,11,2,0,0,0,0,0,0,0,1,1,0,0,0,2,0,17,2021
Boliney,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Boljoon,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Bombon,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Bongabon,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,9,2021
Bongabong,0,0,36,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,40,2021
Bongao,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,10,2021
Bonifacio,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,2021
Bontoc (MP),0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17,2021
Bontoc (SL),0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Borbon,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,2021
Borongan,0,0,16,3,0,0,1,0,0,1,3,2,0,0,0,0,2,0,28,2021
Boston,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Botolan,0,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,27,2021
Braulio E. Dujali,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Buadiposo-Buntong,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Bubong,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Bucay,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2021
Bucloc,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Buenavista (AN),0,0,70,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,79,2021
Buenavista (BL),0,0,70,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,79,2021
Buenavista (GS),0,0,70,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,79,2021
Buenavista (ME),0,0,70,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,79,2021
Buenavista (QN),0,0,70,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,79,2021
Bugallon,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,2021
Bugasong,0,0,7,1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,13,2021
Buguey,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,2021
Buguias,0,0,14,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,17,2021
Buhi,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,2021
Bula,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,2021
Bulakan,0,0,13,1,0,0,0,0,1,0,0,1,1,0,0,0,2,0,19,2021
Bulalacao,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,2021
Bulan,0,0,18,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,23,2021
Buldon,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Buluan,0,0,2,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,9,2021
Bulusan,0,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27,2021
Bunawan,0,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,12,2021
Burauen,0,0,11,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,2021
Burdeos,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Burgos (IN),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
Burgos (IS),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
Burgos (IA),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
Burgos (LU),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
Burgos (PS),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
