name,Ambulatory Surgical Clinic,Animal Bite Treatment Center,Barangay Health Station,Birthing Home,City Health Office,COVID-19 Testing Laboratory,DepEd Clinic,Dialysis Clinic,Drug Abuse Treatment and Rehabilitation Centers,Drug Testing Laboratory,General Clinic Laboratory,Hospital,Infirmary,Municipal Health Office,Provincial Health Office,Psychiatric Care Facility,Rural Health Unit,Social hygiene Clinic,Total,year
Burgos (SN),0,0,40,6,0,0,0,0,0,0,1,0,0,0,0,0,6,0,53,2021
Buruanga,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2021
Bustos,0,0,12,3,0,0,0,0,1,0,0,1,1,0,0,0,2,0,20,2021
Busuanga,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Butig,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Butuan,0,0,86,18,0,3,0,2,0,0,10,6,2,0,0,0,2,0,129,2021
Buug,0,0,7,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,11,2021
Caba,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2021
Cabadbaran,0,0,19,2,0,0,0,0,0,0,2,1,2,0,0,0,1,0,27,2021
Cabagan,0,0,16,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,20,2021
Cabanatuan,0,0,34,3,1,0,0,0,0,0,0,8,0,0,0,0,7,0,53,2021
Cabangan,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2021
Cabanglasan,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2021
Cabarroguis,0,0,16,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,22,2021
Cabatuan (IO),0,0,17,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,23,2021
Cabatuan (IA),0,0,17,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,23,2021
Cabiao,0,0,13,4,0,0,0,0,0,0,0,1,2,0,0,0,2,0,22,2021
Cabucgayan,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Cabugao,0,0,17,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,22,2021
Cabusao,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,2021
Cabuyao,0,0,15,8,0,0,0,0,1,0,0,4,0,0,0,0,2,0,30,2021
Cadiz,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,27,2021
Cagayancillo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2021
Cagayan De Oro,0,0,33,16,0,5,0,0,1,0,0,11,0,0,0,1,27,1,95,2021
Cagdianao,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Cagwait,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Caibiran,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Cainta,0,0,24,1,0,0,0,0,0,0,0,3,1,0,0,0,7,1,37,2021
Cajidiocan,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2021
Calabanga,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,2021
Calaca,0,0,14,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,2021
Calamba (LA),0,0,60,14,0,1,0,0,2,0,0,7,1,0,0,0,1,0,86,2021
Calamba (MC),0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,2021
Calanasan,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,2021
Calanogas,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Calapan,0,0,60,0,0,1,0,0,0,0,0,6,0,0,0,0,3,0,70,2021
Calape,0,0,32,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35,2021
Calasiao,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,2021
Calatagan,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,2021
Calatrava (NO),0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,49,2021
Calatrava (RN),0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,49,2021
Calauag,0,0,19,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,22,2021
Calauan,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2021
Calayan,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,2021
Calbayog,0,1,23,8,0,0,0,0,0,4,4,4,0,0,0,0,6,0,50,2021
Calbiga,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,2021
Calinog,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17,2021
Calintaan,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Caloocan,0,0,0,12,0,2,0,0,0,0,34,10,4,0,0,0,46,1,109,2021
Calubian,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2021
Calumpit,0,0,27,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,32,2021
Caluya,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,2021
Camalaniugan,0,0,5,1,0,0,0,0,0,0,3,3,0,0,0,0,1,0,13,2021
Camalig,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Camaligan,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Camiling,0,0,16,1,0,0,0,0,0,0,0,3,1,0,0,0,2,0,23,2021
Canaman,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,2021
Can-Avid,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Candaba,0,0,31,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,36,2021
Candelaria (QN),0,0,42,4,0,0,0,0,0,0,0,3,1,0,0,0,2,0,52,2021
Candelaria (ZA),0,0,42,4,0,0,0,0,0,0,0,3,1,0,0,0,2,0,52,2021
Candijay,0,0,19,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,2021
Candon,0,0,42,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,48,2021
Candoni,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Canlaon,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,2021
Cantilan,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,2021
Caoayan,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Capalonga,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Capas,0,0,12,2,0,0,0,0,0,0,0,2,1,0,0,0,3,0,20,2021
Capoocan,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Capul,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Caraga,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2021
Caramoan,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,13,2021
Caramoran,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Carasi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2021
Carcar,0,0,21,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,26,2021
Cardona,0,0,18,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,23,2021
Carigara,0,0,8,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,14,2021
Carles,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Carmen (AN),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmen (BL),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmen (CU),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmen (NC),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmen (DN),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmen (SS),0,0,104,7,0,0,0,0,0,0,0,3,3,0,0,0,6,0,123,2021
Carmona,0,0,16,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,21,2021
Carranglan,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,9,2021
Carrascal,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Casiguran (AU),0,0,45,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,50,2021
Casiguran (SO),0,0,45,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,50,2021
Castilla,0,0,32,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,36,2021
Castillejos,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2021
Cataingan,0,0,17,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,2021
Catanauan,0,0,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,48,2021
Catarman (CM),0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2021
Catarman (NS),0,0,22,3,0,0,1,0,0,2,5,2,2,0,0,0,2,0,39,2021
Catbalogan,0,0,12,4,0,0,1,0,0,0,4,3,0,0,0,0,1,0,25,2021
Cateel,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,2021
Catigbian,0,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21,2021
Catmon,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2021
Catubig,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,2021
Cauayan (IA),1,0,55,3,0,0,0,0,0,0,11,5,3,0,0,0,2,0,80,2021
Cauayan (NO),0,0,24,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,27,2021
Cavinti,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Cavite,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,7,0,13,2021
Cawayan,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Cebu,0,0,79,12,1,10,0,0,1,0,0,16,3,0,0,0,6,1,129,2021
Cervantes,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,2021
Clarin (BL),0,0,16,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,23,2021
Clarin (MC),0,0,16,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,23,2021
Claver,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Claveria (CG),0,0,63,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,72,2021
Claveria (MS),0,0,63,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,72,2021
Claveria (MO),0,0,63,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,72,2021
Columbio,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2021
Compostela (CU),0,0,33,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,38,2021
Compostela (DDO),0,0,33,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,38,2021
Concepcion (IO),0,0,48,2,0,0,0,0,0,0,0,4,0,0,0,0,6,0,60,2021
Concepcion,0,0,48,2,0,0,0,0,0,0,0,4,0,0,0,0,6,0,60,2021
Concepcion (RN),0,0,48,2,0,0,0,0,0,0,0,4,0,0,0,0,6,0,60,2021
Concepcion (TC),0,0,48,2,0,0,0,0,0,0,0,4,0,0,0,0,6,0,60,2021
Conner,0,0,22,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25,2021
Consolacion,0,0,21,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25,2021
Corcuera,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,2021
Cordon,0,0,25,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,31,2021
Cordova,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Corella,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Coron,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,2021
Cortes (BL),0,0,15,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,20,2021
Cortes (SS),0,0,15,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,20,2021
Cotabato,0,0,39,7,0,2,0,0,0,0,0,5,1,0,0,0,1,0,55,2021
Cuartero,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2021
Cuenca,0,0,13,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,2021
Culaba,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Culasi,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,2021
Culion,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,13,2021
Currimao,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Cuyapo,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,2021
Cuyo,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,2021
Daan Bantayan,0,0,19,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,24,2021
Daet,0,0,22,4,0,0,0,0,0,0,1,5,0,0,0,0,3,0,35,2021
Dagami,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Dagohoy,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2021
Daguioman,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Dagupan,0,0,14,5,0,2,0,0,1,0,0,9,1,0,0,1,1,0,34,2021
Dalaguete,0,0,33,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,38,2021
Damulog,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2021
Danao (BL),0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Danao (CU),0,0,34,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,39,2021
Dangcagan,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Danglas,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Dao,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,2021
Dapa,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,2021
Dapitan,0,0,21,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,26,2021
Daraga,0,0,20,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,27,2021
Daram,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Dasmarinas,0,0,83,28,0,1,0,0,0,0,0,7,2,0,0,0,2,1,124,2021
Dasol,0,0,16,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,2021
Datu Abdullah Sangki,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Datu Anggal Midtimbang,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Datu Blah Sinsuat,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Datu Hoffer Ampatuan,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2021
Datu Odin Sinsuat,0,0,20,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,29,2021
Datu Paglas,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,2021
Datu Piang,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,2021
Datu Salibo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2021
Datu Saudi-Ampatuan,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Datu Unsay,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Dauin,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,2021
Dauis,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
Davao,0,0,174,51,0,5,0,0,3,0,0,19,13,0,0,0,19,1,285,2021
Del Carmen,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Delfin Albano,0,0,5,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,9,2021
Del Gallego,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2021
Diadi,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,2021
Diffun,0,0,33,5,0,0,0,0,0,0,2,0,1,0,0,0,1,0,42,2021
Digos,0,0,33,8,0,0,0,0,0,0,0,9,3,0,0,0,1,0,54,2021
Dilasag,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Dimasalang,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2021
Dimataling,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Dimiao,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Dinagat,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2021
Dinalungan,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Dinalupihan,0,0,33,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,40,2021
Dinapigue,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2021
Dinas,0,0,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,2021
Dingalan,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Dingle,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Dingras,0,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,2021
Dipaculao,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2021
Diplahan,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8,2021
Dipolog,0,0,25,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,32,2021
Ditsaan-Ramain,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Divilacan,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Dolores (AA),0,0,31,3,0,0,0,0,0,0,1,1,2,0,0,0,3,0,41,2021
Dolores (ES),0,0,31,3,0,0,0,0,0,0,1,1,2,0,0,0,3,0,41,2021
Dolores (QN),0,0,31,3,0,0,0,0,0,0,1,1,2,0,0,0,3,0,41,2021
Don Carlos,0,0,29,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,35,2021
Don Marcelino,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2021
Donsol,0,0,31,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,2021
Don Victoriano Chiongbian,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Dona Remedios Trinidad,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Duero,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,2021
Duenas,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Dulag,0,0,8,4,0,0,0,0,2,0,1,0,0,0,0,0,1,0,16,2021
Dumaguete,0,0,27,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,33,2021
Dumalag,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2021
Dumalinao,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Dumalneg,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2021
Dumangas,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,2021
Dumanjug,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,2021
Dumaran,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,2021
Dumarao,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,2021
Dumingag,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2021
Dupax Del Norte,0,0,14,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,2021
Dupax Del Sur,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2021
Echague,0,0,58,5,0,0,0,0,0,0,1,2,0,0,0,0,1,0,67,2021
El Nido,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
El Salvador,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2021
Enrile,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2021
E. B. Magalona,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,2021
Enrique Villanueva,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
Escalante,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,2021
Esperanza (AS),0,0,40,1,0,0,0,0,0,0,0,2,3,0,0,0,3,0,49,2021
Esperanza (MS),0,0,40,1,0,0,0,0,0,0,0,2,3,0,0,0,3,0,49,2021
Esperanza (SK),0,0,40,1,0,0,0,0,0,0,0,2,3,0,0,0,3,0,49,2021
Estancia,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2021
Famy,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2021
Ferrol,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Flora,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,2021
Floridablanca,0,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,21,2021
Gabaldon,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,2021
Gainza,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2021
Galimuyod,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Gamay,0,0,5,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,10,2021
Gamu,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,16,2021
Ganassi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2021
Gandara,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,2021
Gapan,0,0,20,2,0,0,0,0,0,0,0,2,0,0,0,0,5,0,29,2021
Garchitorena,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,24,2021
Garcia-Hernandez,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,2021
Gasan,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Gattaran,0,0,11,2,0,0,0,0,0,0,3,0,2,0,0,0,1,0,19,2021
Gen. Emilio Aguinaldo,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
General Luna (QN),0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,2021
General Luna  (SN),0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,2021
General Macarthur,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,9,2021
General Mamerto Natividad,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2021
General Nakar,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2021
General Santos,0,0,23,39,0,2,0,0,0,0,0,8,2,0,0,0,13,0,87,2021
General Tinio,0,0,8,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,13,2021
General Trias,0,0,25,6,0,0,0,0,0,0,0,4,2,0,0,0,1,0,38,2021
Gen. Mariano Alvarez,0,0,27,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,37,2021
Gen S.K Pendatun,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Gerona,0,0,13,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,21,2021
Getafe,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,2021
Gigaquit,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2021
Gigmoto,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,2021
Ginatilan,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Gingoog,0,0,79,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,85,2021
Giporlos,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2021
Gitagum,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2021
Glan,0,0,31,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,35,2021
Gloria,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,2021
Goa,0,0,33,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,41,2021
Godod,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2021
Gonzaga,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,2021
Governor Generoso,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,22,2021
Gregorio Del Pilar,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2021
Guagua,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,33,2021
Gubat,0,0,38,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,42,2021
