,From .shp,,from poverty index,,,,
0,Aborlan,,Aborlan,13.33,,,
1,Abra De Ilog,,Abra de Ilog,20.46,,,
2,Abucay,,Abucay,5.3,,,
3,Abulug,,Abulug,14.79,,,
4,Abuyog,,Abuyog,28.17,,,
5,Adams,,Adams,5.62,,,
6,Agdangan,,Agdangan,14,,,
7,Aglipay,,Aglipay,11.6,,,
8,Agno,,Agno,11.68,,,
9,Agoncillo,,Agoncillo,12.5,,,
10,Agoo,,Agoo,3.26,,,
11,Aguilar,,Aguilar,16.22,,,
12,Aguinaldo,,Aguinaldo,24.68,,,
13,Agutaya,,Agutaya,15.22,,,
14,Ajuy,,Ajuy,23.11,,,
15,Akbar,,Akbar,70.12,,,
16,Alabat,,Al-barka,73.56,,,
17,Alabel,,Alabat,15.45,,,
18,Alamada,,Alabel,29.2,,,
19,Alaminos (LA),,Alamada,44.3,,,
20,Alaminos (PS),,Alaminos,2.58,,,
21,Alang-Alang,,Alaminos City,7.75,,,
22,Al-Barka,,Alangalang,31.05,,,
23,Albuera,,Albuera,27.2,,,
24,Alburquerque,,Alburquerque,10.4,,,
25,Alcala (CG),,Alcala,12.24,,,
26,Alcala (PS),,Alcala,14.66,,,
27,Alcantara (CU),,Alcantara,21.15,,,
28,Alcantara (RN),,Alcantara,22.3,,,
29,Alcoy,,Alcoy,22.9,,,
30,Alegria (CU),,Alegria,23.2,,,
31,Alegria (SN),,Alegria,37.37,,,
32,Aleosan,,Aleosan,47.1,,,
33,Alfonso,,Alfonso,5.26,,,
34,Alfonso Castaneda,,Alfonso Castaneda,22.92,,,
35,Alfonso Lista,,Alfonso Lista (Potia),16.4,,,
36,Aliaga,,Aliaga,6.71,,,
37,Alicia (BL),,Alicia,27.6,,,
38,Alicia (IA),,Alicia,12.61,,,
39,Alicia (ZS),,Alicia,37.31,,,
40,Alilem,,Alilem,8.69,,,
41,Alimodian,,Alimodian,23.72,,,
42,Alitagtag,,Alitagtag,16,,,
43,Allacapan,,Allacapan,11.47,,,
44,Allen,,Allen,23.97,,,
45,Almagro,,Almagro,30.25,,,
46,Almeria,,Almeria,16.78,,,
47,Aloguinsan,,Aloguinsan,22.7,,,
48,Aloran,,Aloran,23.51,,,
49,Altavas,,Altavas,14.62,,,
50,Alubijid,,Alubijid,14.93,,,
51,Amadeo,,Amadeo,4.7,,,
52,Amai Manabilang,,Amai Manabilang,75.74,,,
53,Ambaguio,,Ambaguio,53.45,,,
54,Amlan,,Amlan,12.7,,,
55,Ampatuan,,Ampatuan,58.89,,,
56,Amulung,,Amulung,15.46,,,
57,Anahawan,,Anahawan,23.63,,,
58,Anao,,Anao,5.21,,,
59,Anda (BL),,Anda,12.4,,,
60,Anda (PS),,Anda,25.4,,,
61,Angadanan,,Angadanan,14.31,,,
62,Angat,,Angat,4.61,,,
63,Angeles,,,,,,
64,Angono,,Angono,4.07,,,
65,Anilao,,Anilao,22.61,,,
66,Anini-Y,,Anini-Y,18.76,,,
67,Antequera,,Antequera,15.6,,,
68,Antipas,,Antipas,28.6,,,
69,Antipolo,,Antipolo City,5.38,,,
70,Apalit,,Apalit,4.7,,,
71,Aparri,,Aparri,13.28,,,
72,Araceli,,Araceli,19.18,,,
73,Arakan,,Arakan,42.1,,,
74,Arayat,,Arayat,6.4,,,
75,Argao,,Argao,15.9,,,
76,Aringay,,Aringay,4.39,,,
77,Aritao,,Aritao,15.83,,,
78,Aroroy,,Aroroy,37.26,,,
79,Arteche,,Arteche,58.66,,,
80,Asingan,,Asingan,10.42,,,
81,Asipulo,,Asipulo,32.04,,,
82,Asturias,,Asturias,26,,,
83,Asuncion,,Asuncion (Saug),18.12,,,
84,Atimonan,,Atimonan,6.1,,,
85,Atok,,Atok,18.66,,,
86,Aurora (IA),,Aurora,11.23,,,
87,Aurora (ZR),,Aurora,29.8,,,
88,Ayungon,,Ayungon,30.5,,,
89,Baao,,Baao,26.2,,,
90,Babatngon,,Babatngon,33.12,,,
91,Bacacay,,Bacacay,31.51,,,
92,Bacarra,,Bacarra,3.43,,,
93,Baclayon,,Baclayon,11.2,,,
94,Bacnotan,,Bacnotan,1.46,,,
95,Baco,,Baco,16.82,,,
96,Bacolod (LN),,Bacolod,20.42,,,
97,Bacolod (NO),,,,,,
98,Bacolod-Kalawi,,Bacolod-Kalawi,66.62,,,
99,Bacolor,,Bacolor,3.63,,,
100,Bacong,,Bacong,13.9,,,
101,Bacoor,,Bacoor City,3.9,,,
102,Bacuag,,Bacuag,31.76,,,
103,Bacungan Leon B. Postigo,,Bacungan (Leon T. Postigo),55.77,,,
104,Badian,,Badian,26.5,,,
105,Badiangan,,Badiangan,15.96,,,
106,Badoc,,Badoc,5.67,,,
107,Bagabag,,Bagabag,8.68,,,
108,Bagac,,Bagac,6.07,,,
109,Bagamanoc,,Bagamanoc,22.71,,,
110,Baganga,,Baganga,36.35,,,
111,Baggao,,Baggao,13.47,,,
112,Bago,,Bago City,12.98,,,
113,Baguio,,,,,,
114,Bagulin,,Bagulin,5.5,,,
115,Bagumbayan,,Bagumbayan,33.1,,,
116,Bais,,Bais City,22.8,,,
117,Bakun,,Bakun,17.92,,,
118,Balabac,,Balabac,29.74,,,
119,Balabagan,,Balabagan,73.45,,,
120,Balagtas,,Balagtas,3.38,,,
121,Balamban,,Balamban,18.9,,,
122,Balanga,,Balanga City,3.39,,,
123,Balangiga,,Balangiga,50.07,,,
124,Balangkayan,,Balangkayan,50.42,,,
125,Balaoan,,Balaoan,3.2,,,
126,Balasan,,Balasan,20.74,,,
127,Balatan,,Balatan,38.39,,,
128,Balayan,,Balayan,10.41,,,
129,Balbalan,,Balbalan,15.95,,,
130,Baleno,,Baleno,33.05,,,
131,Baler,,Baler,7.34,,,
132,Balete (AK),,Balete,17.26,,,
133,Balete (BS),,Balete,12.66,,,
134,Baliangao,,Baliangao,26.76,,,
135,Baliguian,,Baliguian,52.55,,,
136,Balilihan,,Balilihan,20.5,,,
137,Balindong,,Balindong (Watu),67.37,,,
138,Balingasag,,Balingasag,20.15,,,
139,Balingoan,,Balingoan,18.47,,,
140,Baliwag,,Baliuag,3.98,,,
141,Ballesteros,,Ballesteros,13.03,,,
142,Baloi,,Baloi,29.12,,,
143,Balud,,Balud,31.72,,,
144,Balungao,,Balungao,9.49,,,
145,Bamban,,Bamban,10.3,,,
146,Bambang,,Bambang,8.23,,,
147,Banate,,Banate,18.8,,,
148,Banaue,,Banaue,19.22,,,
149,Banaybanay,,Banaybanay,26.05,,,
150,Banayoyo,,Banayoyo,6.05,,,
151,Banga (AK),,Banga,19.5,,,
152,Banga (SC),,Banga,10.61,,,
153,Bangar,,Bangar,3.83,,,
154,Bangued,,Bangued,8.89,,,
155,Bangui,,Bangui,4.74,,,
156,Bani,,Bani,10.58,,,
157,Banisilan,,Banisilan,43,,,
158,Banna,,Banna,6.13,,,
159,Bansalan,,Bansalan,17.29,,,
160,Bansud,,Bansud,16.2,,,
161,Bantay,,Bantay,3.18,,,
162,Bantayan Island,,Bantayan,23.5,,,
163,Banton,,Banton,16.71,,,
164,Baras (CT),,Baras,6.4,,,
165,Baras (RL),,Baras,25.67,,,
166,Barbaza,,Barbaza,19.88,,,
167,Barcelona,,Barcelona,28.35,,,
168,Barili,,Barili,23.5,,,
169,Barira,,Barira,65.66,,,
170,Barlig,,Barlig,14.43,,,
171,Barobo,,Barobo,33.17,,,
172,Barotac Nuevo,,Barotac Nuevo,15.66,,,
173,Barotac Viejo,,Barotac Viejo,19.5,,,
174,Baroy,,Baroy,17.11,,,
175,Barugo,,Barugo,26.48,,,
176,Basay,,Basay,29.1,,,
177,Basco,,Basco,7.01,,,
178,Basey,,Basey,26.87,,,
179,Basilisa,,Basilisa (Rizal),33.22,,,
180,Basista,,Basista,14.48,,,
181,Basud (CN),,Basud,22.37,,,
182,Batac,,Batac City,4.14,,,
183,Batad,,Batad,23.77,,,
184,Batan,,Batan,14.66,,,
185,Batangas,,Batangas City,8.55,,,
186,Bataraza,,Bataraza,15.29,,,
187,Bato (CS),,Bato,29.15,,,
188,Bato (CT),,Bato,30.85,,,
189,Bato (LE),,Bato,14.55,,,
190,Batuan (BL),,Batuan,23.3,,,
191,Batuan (MS),,Batuan,29.28,,,
192,Bauan,,Bauan,7.6,,,
193,Bauang,,Bauang,3.1,,,
194,Bauko,,Bauko,21.75,,,
195,Baungon,,Baungon,34.65,,,
196,Bautista,,Bautista,14.79,,,
197,Bay,,Bay,2.19,,,
198,Bayabas,,Bayabas,31.1,,,
199,Bayambang,,Bayambang,14.67,,,
200,Bayang,,Bayang,70.39,,,
201,Bayawan,,Bayawan City,29.5,,,
202,Baybay,,Baybay City,22.84,,,
203,Bayog,,Bayog,37.86,,,
204,Bayombong,,Bayombong,6.82,,,
205,Bayugan,,Bayugan City,31.5,,,
206,Belison,,Belizon,13.18,,,
207,Benito Soliven,,Benito Soliven,19.74,,,
208,Besao,,Besao,16.63,,,
209,Bien Unido,,Bien Unido,32,,,
210,Bilar,,Bilar,20.1,,,
211,Biliran,,Biliran,22.42,,,
212,Binalbagan,,Binalbagan,16.41,,,
213,Binalonan,,Binalonan,6.92,,,
214,Binangonan,,Binangonan,3.83,,,
215,Bindoy,,Bindoy,37.8,,,
216,Bingawan,,Bingawan,22.39,,,
217,Binidayan,,Binidayan,69.77,,,
218,Binmaley,,Binmaley,6.56,,,
219,Binuangan,,Binuangan,17.11,,Binondo,1.52
220,Biri,,Biri,41.78,,,
221,Bislig,,Bislig City,21.6,,,
222,Binan,,Biñan City,1.69,,,
223,Boac,,Boac,13.44,,,
224,Bobon,,Bobon,34.6,,,
225,Bocaue,,Bocaue,7.52,,,
226,Bogo,,Bogo City,13.1,,,
227,Bokod,,Bokod,9.88,,,
228,Bolinao,,Bolinao,16.28,,,
229,Boliney,,Boliney,32.97,,,
230,Boljoon,,Boljoon,23.3,,,
231,Bombon,,Bombon,23.78,,,
232,Bongabon,,Bongabon,5.47,,,
233,Bongabong,,Bongabong,16.5,,,
234,Bongao,,Bongao,17.29,,,
235,Bonifacio,,Bonifacio,34.96,,,
236,Bontoc (MP),,Bontoc,29.69,,,
237,Bontoc (SL),,Bontoc,10.01,,,
238,Borbon,,Borbon,20.7,,,
239,Borongan,,Borongan City,37.42,,,
240,Boston,,Boston,29.48,,,
241,Botolan,,Botolan,12.75,,,
242,Braulio E. Dujali,,Braulio E. Dujali,11.4,,,
243,Brooke's Point,,Brooke's Point,16.71,,,
244,Buadiposo-Buntong,,Buadiposo-Buntong,66.88,,,
245,Bubong,,Bubong,67.25,,,
246,Bucay,,Bucay,20.43,,,
247,Bucloc,,Bucloc,21.16,,,
248,Buenavista (AN),,Buenavista,32.6,,,
249,Buenavista (BL),,Buenavista,6.99,,,
250,Buenavista (GS),,Buenavista,19.65,,,
251,Buenavista (ME),,Buenavista,24.91,,,
252,Buenavista (QN),,Buenavista,24.77,,,
253,Bugallon,,Bugallon,15.28,,,
254,Bugasong,,Bugasong,19.93,,,
255,Buguey,,Buguey,15.28,,,
256,Buguias,,Buguias,9.44,,,
257,Buhi,,Buhi,29.82,,,
258,Bula,,Bula,25.05,,,
259,Bulakan,,Bulacan,4,,,
260,Bulalacao,,Bulalacao,23.93,,,
261,Bulan,,Bulan,29.49,,,
262,Buldon,,Buldon,66.8,,,
263,Buluan,,Buluan,63.91,,,
264,Bulusan,,Bulusan,28.97,,,
265,Bunawan,,Bunawan,30.33,,,
266,Burauen,,Burauen,27.79,,,
267,Burdeos,,Burdeos,21.96,,,
268,Burgos (IN),,Burgos,18.23,,,
269,Burgos (IS),,Burgos,4.35,,,
270,Burgos (IA),,Burgos,31.55,,,
271,Burgos (LU),,Burgos,4.03,,,
272,Burgos (PS),,Burgos,12.25,,,
273,Burgos (SN),,Burgos,6.48,,,
274,Buruanga,,Buruanga,16.41,,,
275,Bustos,,Bustos,4.31,,,
276,Busuanga,,Busuanga,17.42,,,
277,Butig,,Butig,80.72,,,
278,Butuan,,,,,,
279,Buug,,Buug,25.32,,,
280,Caba,,Caba,3.11,,,
281,Cabadbaran,,Cabadbaran City,19.04,,,
282,Cabagan,,Cabagan,14.68,,,
283,Cabanatuan,,Cabanatuan City,3.12,,,
284,Cabangan,,Cabangan,9.99,,,
285,Cabanglasan,,Cabanglasan,34.04,,,
286,Cabarroguis,,,,,,
287,Cabatuan (IO),,Cabatuan,11.02,,,
288,Cabatuan (IA),,Cabatuan,13.46,,,
289,Cabiao,,Cabiao,5.71,,,
290,Cabucgayan,,Cabucgayan,27.86,,,
291,Cabugao,,Cabugao,6.61,,,
292,Cabusao,,Cabusao,28.07,,,
293,Cabuyao,,Cabuyao City,1.52,,,
294,Cadiz,,Cadiz City,24.85,,,
295,Cagayancillo,,Cagayancillo,23.16,,,
296,Cagayan De Oro,,,,,,
297,Cagdianao,,Cagdianao,36.83,,,
298,Cagwait,,Cagwait,27.95,,,
299,Caibiran,,Caibiran,31.14,,,
300,Cainta,,Cainta,3.7,,,
301,Cajidiocan,,Cajidiocan,28.71,,,
302,Calabanga,,Calabanga,26.78,,,
303,Calaca,,Calaca,10.29,,,
304,Calamba (LA),,Calamba,24.01,,,
305,Calamba (MC),,Calamba City,1.87,,,
306,Calanasan,,Calanasan (Bayag),29.81,,,
307,Calanogas,,Calanogas,86.1,,,
308,Calapan,,Calapan City,7.15,,,
309,Calape,,Calape,17.4,,,
310,Calasiao,,Calasiao,7.82,,,
311,Calatagan,,Calatagan,11.71,,,
312,Calatrava (NO),,Calatrava,22.64,,,
313,Calatrava (RN),,Calatrava,33.96,,,
314,Calauag,,Calauag,9.77,,,
315,Calauan,,Calauan,4.04,,,
316,Calayan,,Calayan,42.19,,,
317,Calbayog,,Calbayog City,23.66,,,
318,Calbiga,,Calbiga,24.86,,,
319,Calinog,,Calinog,27.02,,,
320,Calintaan,,Calintaan,18.97,,,
321,Caloocan,,,,,,
322,Calubian,,Calubian,29.35,,,
323,Calumpit,,Calumpit,4.73,,,
324,Caluya,,Caluya,30.27,,,
325,Camalaniugan,,Camalaniugan,13.5,,,
326,Camalig,,Camalig,21.05,,,
327,Camaligan,,Camaligan,17.44,,,
328,Camiling,,Camiling,6.25,,,
329,Canaman,,Can-avid,52.2,,,
330,Can-Avid,,Canaman,13.93,,,
331,Candaba,,Candaba,6.99,,,
332,Candelaria (QN),,Candelaria,6.23,,,
333,Candelaria (ZA),,Candelaria,9.84,,,
334,Candijay,,Candijay,21.4,,,
335,Candon,,Candon City,5.6,,,
336,Candoni,,Candoni,24.78,,,
337,Canlaon,,Canlaon City,23.6,,,
338,Cantilan,,Cantilan,19.17,,,
339,Caoayan,,Caoayan,4.05,,,
340,Capalonga,,Capalonga,38.7,,,
341,Capas,,Capas,8.73,,,
342,Capoocan,,Capoocan,32.85,,,
343,Capul,,Capul,37.35,,,
344,Caraga,,Caraga,40.04,,,
345,Caramoan,,Caramoan,25.32,,,
346,Caramoran,,Caramoran,34.85,,,
347,Carasi,,Carasi,6.71,,,
348,Carcar,,Carcar City,13.8,,,
349,Cardona,,Cardona,4.73,,,
350,Carigara,,Carigara,25,,,
351,Carles,,Carles,35.79,,,
352,Carmen (AN),,Carmen,25,,,
353,Carmen (BL),,Carmen,27.33,,,
354,Carmen (CU),,Carmen,14.1,,,
355,Carmen (NC),,Carmen,39.3,,,
356,Carmen (DN),,Carmen,27.17,,,
357,Carmen (SS),,Carmen,14.17,,,
358,Carmona,,Carmona,4.01,,,
359,Carranglan,,Carranglan,7.68,,,
360,Carrascal,,Carrascal,23.03,,,
361,Casiguran (AU),,Casiguran,12.62,,,
362,Casiguran (SO),,Casiguran,30.58,,,
363,Castilla,,Castilla,35.39,,,
364,Castillejos,,Castillejos,7.04,,,
365,Cataingan,,Cataingan,23.42,,,
366,Catanauan,,Catanauan,11.34,,,
367,Catarman (CM),,Catarman,30.27,,,
368,Catarman (NS),,Catarman,26.57,,,
369,Catbalogan,,Catbalogan City,19,,,
370,Cateel,,Cateel,32.7,,,
371,Catigbian,,Catigbian,23,,,
372,Catmon,,Catmon,16.1,,,
373,Catubig,,Catubig,44.12,,,
374,Cauayan (IA),,Cauayan,27.26,,,
375,Cauayan (NO),,Cauayan City,12.62,,,
376,Cavinti,,Cavinti,2.66,,,
377,Cavite,,Cavite City,5.66,,,
378,Cawayan,,Cawayan,24.26,,,
379,Cebu,,,,,,
380,Cervantes,,Cervantes,11.19,,,
381,Clarin (BL),,Clarin,17.4,,,
382,Clarin (MC),,Clarin,22.51,,,
383,Claver,,Claver,32.33,,,
384,Claveria (CG),,Claveria,36.33,,,
385,Claveria (MS),,Claveria,22.1,,,
386,Claveria (MO),,Claveria,11.12,,,
387,Columbio,,Columbio,36.2,,,
388,Compostela (CU),,Compostela,12.4,,Cobarronguis,9.32
389,Compostela (DDO),,Compostela,25.25,,,
390,Concepcion (IO),,Concepcion,17.18,,,
391,Concepcion,,Concepcion,49.92,,,
392,Concepcion (RN),,Concepcion,29.2,,,
393,Concepcion (TC),,Concepcion,9.85,,,
394,Conner,,Conner,23.65,,,
395,Consolacion,,Consolacion,6.6,,,
396,Corcuera,,Corcuera,19.9,,,
397,Cordon,,Cordon,18.92,,,
398,Cordova,,Cordoba,9,,,
399,Corella,,Corella,10.1,,,
400,Coron,,Coron,17.06,,,
401,Cortes (BL),,Cortes,12.5,,,
402,Cortes (SS),,Cortes,28.37,,,
403,Cotabato,,,,,,
404,Cuartero,,Cuartero,6.39,,,
405,Cuenca,,Cuenca,11.65,,,
406,Culaba,,Culaba,28.75,,,
407,Culasi,,Culasi,22.58,,,
408,Culion,,Culion,15.77,,,
409,Currimao,,Currimao,4.3,,,
410,Cuyapo,,Cuyapo,5.9,,,
411,Cuyo,,Cuyo,11.38,,,
412,Daan Bantayan,,Daanbantayan,17.8,,,
413,Daet,,Daet,14.73,,,
414,Dagami,,Dagami,33.68,,,
415,Dagohoy,,Dagohoy,27.5,,,
416,Daguioman,,Daguioman,24.74,,,
417,Dagupan,,Dagupan City,9.19,,,
418,Dalaguete,,Dalaguete,25.2,,,
419,Damulog,,Damulog,35.44,,,
420,Danao (BL),,Danao,29.2,,,
421,Danao (CU),,Danao City,14.3,,,
422,Dangcagan,,Dangcagan,27.64,,,
423,Danglas,,Danglas,23.22,,,
424,Dao,,Dao,6.58,,,
425,Dapa,,Dapa,38.11,,,
426,Dapitan,,Dapitan City,27.12,,,
427,Daraga,,Daraga (Locsin),13.51,,,
428,Daram,,Daram,41.18,,,
429,Dasmarinas,,Dasmariñas City,5.34,,,
430,Dasol,,Dasol,13.14,,,
431,Datu Abdullah Sangki,,Datu Abdullah Sangki,67.14,,,
432,Datu Anggal Midtimbang,,Datu Anggal Midtimbang,69.48,,,
433,Datu Blah Sinsuat,,Datu Blah T. Sinsuat,70.44,,,
434,Datu Hoffer Ampatuan,,Datu Hoffer Ampatuan,70.31,,,
435,Datu Odin Sinsuat,,Datu Odin Sinsuat (Dinaig),48,,,
436,Datu Paglas,,Datu Paglas,65.06,,,
437,Datu Piang,,Datu Piang,52.11,,,
438,Datu Salibo,,Datu Salibo,59.31,,,
439,Datu Saudi-Ampatuan,,Datu Saudi-Ampatuan,62.3,,,
440,Datu Unsay,,Datu Unsay,67.6,,,
441,Dauin,,Dauin,17.5,,,
442,Dauis,,Dauis,10.8,,,
443,Davao,,,,,,
444,Del Carmen,,Del Carmen,35.52,,,
445,Delfin Albano,,Del Gallego,30.59,,,
446,Del Gallego,,Delfin Albano,16.95,,,
447,Diadi,,Diadi,14.33,,,
448,Diffun,,Diffun,10.64,,,
449,Digos,,Digos City,5.46,,,
450,Dilasag,,Dilasag,12.87,,,
451,Dimasalang,,Dimasalang,33.94,,,
452,Dimataling,,Dimataling,36.56,,,
453,Dimiao,,Dimiao,22.2,,,
454,Dinagat,,Dinagat,35.33,,,
455,Dinalungan,,Dinalungan,14.74,,,
456,Dinalupihan,,Dinalupihan,6.35,,,
457,Dinapigue,,Dinapigue,44.81,,,
458,Dinas,,Dinas,36.81,,,
459,Dingalan,,Dingalan,12.73,,,
460,Dingle,,Dingle,17.48,,,
461,Dingras,,Dingras,6.04,,,
462,Dipaculao,,Dipaculao,11.35,,,
463,Diplahan,,Diplahan,28.89,,,
464,Dipolog,,Dipolog City,17.93,,,
465,Ditsaan-Ramain,,Ditsaan-Ramain,72.98,,,
466,Divilacan,,Divilican,47.58,,,
467,Dolores (AA),,Dolores,15.69,,,
468,Dolores (ES),,Dolores,55.34,,,
469,Dolores (QN),,Dolores,6.34,,,
470,Don Carlos,,Don Carlos,27.06,,,
471,Don Marcelino,,Don Marcelino,37.89,,,
472,Donsol,,Don Victoriano Chiongbian,35.74,,,
473,Don Victoriano Chiongbian,,Donsol,37.1,,,
474,Dona Remedios Trinidad,,Doña Remedios Trinidad,11.43,,,
475,Duero,,Duero,21.6,,,
476,Duenas,,Dueñas,20.52,,,
477,Dulag,,Dulag,24.63,,,
478,Dumaguete,,Dumaguete City,3.2,,,
479,Dumalag,,Dumalag,4.14,,,
480,Dumalinao,,Dumalinao,32.81,,,
481,Dumalneg,,Dumalneg,7.18,,,
482,Dumangas,,Dumangas,14.14,,,
483,Dumanjug,,Dumanjug,22.3,,,
484,Dumaran,,Dumaran,15.52,,,
485,Dumarao,,Dumarao,8.19,,,
486,Dumingag,,Dumingag,39.76,,,
487,Dupax Del Norte,,Dupax del Norte,14.22,,,
488,Dupax Del Sur,,Dupax del Sur,15.98,,,
489,Echague,,Echague,14.99,,,
490,El Nido,,El Nido,16.32,,,
491,El Salvador,,El Salvador City,13.33,,,
492,Enrile,,Enrile,10.21,,,
493,E. B. Magalona,,Enrique B. Magalona,21.59,,,
494,Enrique Villanueva,,Enrique Villanueva,14.4,,,
495,Escalante,,Escalante City,25.31,,Ermita,2.86
496,Esperanza (AS),,Esperanza,31.68,,,
497,Esperanza (MS),,Esperanza,45.67,,,
498,Esperanza (SK),,Esperanza,27.5,,,
499,Estancia,,Estancia,22.79,,,
500,Famy,,Famy,2.78,,,
501,Ferrol,,Ferrol,20.25,,,
502,Flora,,Flora,17.79,,,
503,Floridablanca,,Floridablanca,2.92,,,
504,Gabaldon,,Gabaldon,7.13,,,
505,Gainza,,Gainza,26.08,,,
506,Galimuyod,,Galimuyod,6.91,,,
507,Gamay,,Gamay,33.45,,,
508,Gamu,,Gamu,15.25,,,
509,Ganassi,,Ganassi,74.2,,,
510,Gandara,,Gandara,31.33,,,
511,Gapan,,Gapan City,5.35,,,
512,Garchitorena,,Garchitorena,41.16,,,
513,Garcia-Hernandez,,Garcia Hernandez,17.6,,,
514,Gasan,,Gasan,15.65,,,
515,Gattaran,,Gattaran,16.68,,,
516,Gen. Emilio Aguinaldo,,Gen. Mariano Alvarez,6.36,,,
517,General Luna (QN),,Gen. S. K. Pendatun,73.75,,,
518,General Luna  (SN),,General Emilio Aguinaldo,13.06,,,
519,General Macarthur,,General Luna,40.67,,,
520,General Mamerto Natividad,,General Luna,18.36,,,
521,General Nakar,,General MacArthur,57.95,,,
522,General Santos,,General Mamerto Natividad,6.7,,,
523,General Tinio,,General Nakar,18.59,,,
524,General Trias,,General Tinio,5.1,,,
525,Gen. Mariano Alvarez,,General Trias City,3.75,,,
526,Gen S.K Pendatun,,,,,,
527,Gerona,,Gerona,6.13,,,
528,Getafe,,Getafe,33.9,,,
529,Gigaquit,,Gigaquit,39.23,,,
530,Gigmoto,,Gigmoto,27.13,,,
531,Ginatilan,,Ginatilan,19.8,,,
532,Gingoog,,Gingoog City,22.73,,,
533,Giporlos,,Giporlos,51.55,,,
534,Gitagum,,Gitagum,15.84,,,
535,Glan,,Glan,39.3,,,
536,Gloria,,Gloria,14.31,,,
537,Goa,,Goa,28.56,,,
538,Godod,,Godod,59.3,,,
539,Gonzaga,,Gonzaga,12.19,,,
540,Governor Generoso,,Governor Generoso,35.05,,,
541,Gregorio Del Pilar,,Gregorio del Pilar,9.73,,,
542,Guagua,,Guagua,3.59,,,
543,Gubat,,Gubat,26.38,,,
544,Guiguinto (BU),,Guiguinto,5.48,,,
545,Guihulngan,,Guihulngan City,31.7,,,
546,Guimba,,Guimba,4.3,,,
547,Guimbal,,Guimbal,11.46,,,
548,Guinayangan,,Guinayangan,17.04,,,
549,Guindulman,,Guindulman,23.2,,,
550,Guindulungan,,Guindulungan,70.61,,,
551,Guinobatan,,Guinobatan,25.61,,,
552,Guinsiliban,,Guinsiliban,30.36,,,
553,Guipos,,Guipos,31.63,,,
554,Guiuan,,Guiuan,43.35,,,
555,Gumaca,,Gumaca,7.7,,,
556,Gutalac,,Gutalac,59.66,,,
557,Hadji Mohammad Ajul,,Hadji Mohammad Ajul,81.63,,,
558,Hadji Muhtamad,,Hadji Muhtamad,75.18,,,
559,Hadji Panglima Tahil,,Hadji Panglima Tahil (Marunggas),78.45,,,
560,Hagonoy (BU),,Hagonoy,4.88,,,
561,Hagonoy (DS),,Hagonoy,14.13,,,
562,Hamtic,,Hamtic,18.45,,,
