,From .shp,,from poverty index,,,,
1137,Pozorrubio,,Pozorrubio,7.71,,,
1138,Presentacion,,Pres. Carlos P. Garcia,36.5,,,
1139,President Garcia,,Pres. Manuel A. Roxas,55.62,,,
1140,President Quirino,,Presentacion,38.02,,,
1141,President Roxas (CZ),,President Quirino,26.7,,,
1142,President Roxas (NC),,President Roxas,6.89,,,
1143,Roxas (ZN),,President Roxas,37.5,,,
1144,Prieto Diaz,,Prieto Diaz,33.99,,,
1145,Prosperidad,,Prosperidad,34.23,,,
1146,Pualas,,Pualas,75.91,,,
1147,Pudtol,,Pudtol,21.01,,,
1148,Puerto Galera,,Puerto Galera,13.25,,,
1149,Puerto Princesa,,,,,,
1150,Pugo,,Pugo,3.16,,,
1151,Pulilan,,Pulilan,4.59,,,
1152,Pulupandan,,Pulupandan,7.7,,,
1153,Pura,,Pura,5.59,,,
1154,Quezon (BK),,Quezon,18.78,,,
1155,Quezon (IA),,Quezon,16.98,,,
1156,Quezon (MM),,Quezon,14.78,,,
1157,Quezon (NE),,Quezon,5.87,,,
1158,Quezon (NV),,Quezon,29.83,,,
1159,Quezon (PN),,Quezon,22.73,,,
1160,Quezon (QN),,Quiapo,4.02,,,
1161,Quinapondan,,Quinapondan,51.27,,,
1162,Quirino (IS),,Quirino,15.59,,,
1163,Quirino (IA),,Quirino,10.97,,,
1164,Ragay,,Ragay,30.41,,,
1165,Rajah Buayan,,Rajah Buayan,73.25,,,
1166,Ramon,,Ramon,13.4,,,
1167,Ramon Magsaysay,,Ramon Magsaysay,32.62,,,
1168,Ramos,,Ramos,8.46,,,
1169,Rapu-Rapu,,Rapu-Rapu,42.71,,,
1170,Real,,Real,8.71,,,
1171,Reina Mercedes,,Reina Mercedes,14.99,,,
1172,Remedios T. Romualdez,,Remedios T. Romualdez,27.74,,,
1173,Rizal (CG),,Rizal,32.16,,,
1174,Rizal (KA),,Rizal,21.29,,,
1175,Rizal (LA),,Rizal,39.54,,,
1176,Rizal (NE),,Rizal,1.56,,,
1177,Rizal (OM),,Rizal,20.13,,,
1178,Rizal (PN),,Rizal,7.35,,,
1179,Rizal (ZN),,Rizal (Liwan),11.87,,,
1180,Rodriguez,,Rodriguez (Montalban),5.62,,,
1181,Romblon,,Romblon,21.71,,,
1182,Ronda,,Ronda,21.2,,,
1183,Rosales,,Rosales,11.84,,,
1184,Rosario (AS),,Rosario,5.21,,,
1185,Rosario (BS),,Rosario,3.55,,,
1186,Rosario (CE),,Rosario,35.42,,,
1187,Rosario (LU),,Rosario,11.92,,,
1188,Rosario (NS),,Rosario,32.98,,,
1189,R.T. Lim,,Roseller Lim,32.26,,,
1190,Roxas (CZ),,Roxas,16.44,,,
1191,Roxas (IA),,Roxas,10.78,,,
1192,Roxas (OR),,Roxas,13.47,,,
1193,Roxas (PN),,Roxas City,7.32,,,
1194,Sabangan,,Sabangan,14.04,,,
1195,Sablan,,Sablan,8.71,,,
1196,Sablayan,,Sablayan,12.84,,,
1197,Sabtang,,Sabtang,21.71,,,
1198,Sadanga,,Sadanga,21.65,,,
1199,Sagada,,Sagada,12.62,,,
1200,Sagay (CM),,Sagay,32.7,,,
1201,Sagay (NO),,Sagay City,24.1,,,
1202,Sagbayan,,Sagbayan,21.5,,,
1203,Saguday,,Saguday,9.94,,,
1204,Saguiaran,,Saguiaran,75.26,,,
1205,Sagnay,,Sagñay,33.93,,,
1206,Saint Bernard,,Saint Bernard,25.48,,,
1207,Salay,,Salay,17.25,,,
1208,Salcedo (ES),,Salcedo,44.9,,,
1209,Salcedo (IS),,Salcedo,7.41,,,
1210,Sallapadan,,Sallapadan,19.96,,,
1211,Salug,,Salug,49.39,,,
1212,Salvador,,Salvador,29.11,,,
1213,Salvador Benedicto,,Salvador Benedicto,32.4,,,
1214,Samal,,Samal,7.27,,,
1215,Samboan,,Samboan,21.6,,,
1216,Sampaloc,,Sampaloc,12.56,,,
1217,San Agustin (IA),,Sampaloc,1.97,,,
1218,San Agustin (RN),,San Agustin,31.97,,,
1219,San Agustin (SS),,San Agustin,25.35,,,
1220,San Andres (CT),,San Agustin,12.36,,,
1221,San Andres (QN),,San Andres,21.84,,,
1222,San Andres (RN),,San Andres,20.68,,,
1223,San Antonio (NS),,San Andres,25.49,,,
1224,San Antonio (NE),,San Antonio,5.8,,,
1225,San Antonio (QN),,San Antonio,26.81,,,
1226,San Antonio (ZA),,San Antonio,7.29,,,
1227,San Benito,,San Antonio,16.5,,,
1228,San Carlos (NO),,San Benito,38.74,,,
1229,San Carlos (PS),,San Carlos City,12.73,,,
1230,Sanchez-Mira,,San Carlos City,28.05,,,
1231,San Clemente,,San Clemente,5.06,,,
1232,San Dionisio,,San Dionisio,26.74,,,
1233,San Emilio,,San Emilio,10.78,,,
1234,San Enrique (IO),,San Enrique,10.37,,,
1235,San Enrique (NO),,San Enrique,22.18,,,
1236,San Esteban,,San Esteban,4.84,,,
1237,San Fabian,,San Fabian,11.46,,,
1238,San Felipe,,San Felipe,9.27,,,
1239,San Fernando (BK),,San Fernando,36.31,,,
1240,San Fernando (CS),,San Fernando,15,,,
1241,San Fernando (CU),,San Fernando,29.28,,,
1242,San Fernando (LU),,San Fernando,28.04,,,
1243,San Fernando (MS),,San Fernando,27.2,,,
1244,San Fernando (PA),,San Fernando City,3.61,,,
1245,San Fernando (RN),,San Fernando City,1.27,,,
1246,San Francisco (AS),,San Francisco,25.69,,,
1247,San Francisco (CU),,San Francisco,31.7,,,
1248,San Francisco (QN),,San Francisco,27.47,,,
1249,San Francisco (SL),,San Francisco (Anao-Aon),32.09,,,
1250,San Francisco (SN),,San Francisco (Aurora),24.15,,,
1251,San Gabriel,,San Gabriel,5.79,,,
1252,San Guillermo,,San Guillermo,27.2,,,
1253,San Ildefonso (BU),,San Idelfonso,5.54,,,
1254,San Ildefonso (IS),,San Ildefonso,3.84,,,
1255,San Isidro (AA),,San Isidro,25.12,,,
1256,San Isidro (BL),,San Isidro,25.8,,,
1257,San Isidro (DN),,San Isidro,32.55,,,
1258,San Isidro (DO),,San Isidro,31.24,,,
1259,San Isidro (IA),,San Isidro,4.63,,,
1260,San Isidro (LE),,San Isidro,36.79,,,
1261,San Isidro (NS),,San Isidro,11.97,,,
1262,San Isidro (NE),,San Isidro,20.3,,,
1263,San Isidro (SN),,San Isidro,32.7,,,
1264,San Jacinto (MS),,San Jacinto,13.33,,,
1265,San Jacinto (PS),,San Jacinto,27.07,,,
1266,San Joaquin,,San Joaquin,26.15,,,
1267,San Jorge,,San Jorge,29.58,,,
1268,San Jose (AE),,San Jose,27.94,,,
1269,San Jose (BS),,San Jose,15.27,,,
1270,San Jose (CS),,San Jose,32.1,,,
1271,San Jose (DI),,San Jose,12.06,,,
1272,San Jose (NR),,San Jose,10.36,,,
1273,San Jose (NS),,San Jose,24.91,,,
1274,San Jose (NE),,San Jose,9.24,,,
1275,San Jose (OM),,San Jose,17.1,,,
1276,San Jose (RN),,San Jose,27.63,,,
1277,San Jose (TC),,San Jose City,4.61,,,
1278,San Jose De Buan,,San Jose Del Monte City,4.64,,,
1279,San Jose Del Monte,,San Jose de Buan,38.77,,,
1280,San Juan (AA),,San Juan,13.04,,,
1281,San Juan (BS),,San Juan,13,,,
1282,San Juan (IS),,San Juan,1.82,,,
1283,San Juan (LU),,San Juan,4.86,,,
1284,San Juan (MM),,San Juan,22.17,,,
1285,San Juan (SR),,San Juan (Cabalian),24.48,,,
1286,San Juan (SL),,,,,,
1287,San Julian,,San Julian,48.41,,,
1288,San Leonardo,,San Leonardo,5.14,,,
1289,San Lorenzo,,San Lorenzo,15.9,,,
1290,San Lorenzo Ruiz,,San Lorenzo Ruiz,31.61,,,
1291,San Luis (AS),,San Luis,10.93,,,
1292,San Luis (AU),,San Luis,6.01,,,
1293,San Luis (BS),,San Luis,15.67,,,
1294,San Luis (PA),,San Luis,47.33,,,
1295,San Manuel (IA),,San Manuel,13.69,,,
1296,San Manuel (PS),,San Manuel,9.91,,,
1297,San Manuel (TC),,San Manuel,8.76,,,
1298,San Marcelino,,San Marcelino,9.06,,,
1299,San Mariano,,San Mariano,23.09,,,
1300,San Mateo (IA),,San Mateo,4.22,,,
1301,San Mateo (RL),,San Mateo,10.66,,,
1302,San Miguel (BL),,San Miguel,13.99,,,
1303,San Miguel (BU),,San Miguel,32.74,,,
1304,San Miguel (CT),,San Miguel,33.22,,,
1305,San Miguel (IO),,San Miguel,6.51,,,
1306,San Miguel (LE),,San Miguel,38.78,,,
1307,San Miguel (SS),,San Miguel,27.1,,,
1308,San Miguel (ZR),,San Miguel,26.74,,,
1309,San Narciso (QN),,San Narciso,5,,San Miguel,4.6
1310,San Narciso (ZA),,San Narciso,23.22,,,
1311,San Nicolas (BS),,San Nicolas,3.99,,,
1312,San Nicolas (IN),,San Nicolas,19.62,,,
1313,San Nicolas (PS),,San Nicolas,2.91,,,
1314,San Pablo (IA),,San Pablo,38.78,,San Nicolas,12.87
1315,San Pablo (LA),,San Pablo,18.78,,,
1316,San Pablo (ZR),,San Pablo City,2.1,,,
1317,San Pascual (BS),,San Pascual,38.21,,,
1318,San Pascual (MS),,San Pascual,7.53,,,
1319,San Pedro,,San Pedro City,1.99,,,
1320,San Policarpo,,San Policarpo,55.81,,,
1321,San Quintin (AA),,San Quintin,11.68,,,
1322,San Quintin (PS),,San Quintin,14.83,,,
1323,San Rafael (BU),,San Rafael,21.32,,,
1324,San Rafael (IO),,San Rafael,4.45,,,
1325,San Remigio (AE),,San Remigio,33.09,,,
1326,San Remigio (CU),,San Remigio,15.9,,,
1327,San Ricardo,,San Ricardo,30.64,,,
1328,San Roque,,San Roque,44.11,,,
1329,San Sebastian,,San Sebastian,27.76,,,
1330,San Simon,,San Simon,5.58,,,
1331,San Teodoro,,San Teodoro,16.53,,,
1332,Santiago (AN),,Santiago,28.72,,,
1333,Santiago (IS),,Santiago,5.67,,,
1334,Santiago (IA),,Santiago City,12.33,,,
1335,San Vicente (CN),,San Vicente,18.91,,,
1336,San Vicente (IS),,San Vicente,27.21,,,
1337,San Vicente (NS),,San Vicente,37.31,,,
1338,San Vicente (PN),,San Vicente,3.33,,,
1339,Sapad,,Sapad,25.1,,Sanchez-Mira,8.27
1340,Sapang Dalaga,,Sapang Dalaga,35.35,,,
1341,Sapa-Sapa,,Sapa-Sapa,24.76,,,
1342,Sapi-An,,Sapi-An,8.96,,,
1343,Sara,,Sara,19.81,,Santa Ana,2.41
1344,Sarangani,,Sarangani,35.47,,,
1345,Sariaya,,Sariaya,6.34,,,
1346,Sarrat,,Sarrat,4.66,,,
1347,Sasmuan,,Sasmuan,6.07,,,
1348,Science City of Munoz,,,,,,
1349,Sebaste,,Sebaste,21.17,,,
1350,Senator Ninoy Aquino,,Sen. Ninoy Aquino,38.2,,,
1351,Sergio Osmena,,Sergio Osmeña Sr.,59.19,,,
1352,Sevilla,,Sevilla,22.1,,,
1353,Shariff Aguak,,Shariff Aguak (Maganoy),62.85,,,
1354,Shariff Saydona Mustapha,,Shariff Saydona Mustapha,66.3,,Santa Cruz,16.8
1355,Siasi,,Siasi,70.93,,,
1356,Siaton,,Siaton,30.7,,,
1357,Siay,,Siay,33.02,,,
1358,Siayan,,Siayan,61.95,,,
1359,Sibagat,,Sibagat,40.23,,,
1360,Sibalom,,Sibalom,17.67,,,
1361,Sibonga,,Sibonga,18.6,,,
1362,Sibuco,,Sibuco,58.59,,,
1363,Sibulan,,Sibulan,10.9,,,
1364,Sibunag,,Sibunag,14.57,,,
1365,Sibutad,,Sibutad,46.34,,,
1366,Sibutu,,Sibutu,20.89,,,
1367,Sierra Bullones,,Sierra Bullones,27.3,,,
1368,Sigay,,Sigay,9.47,,,
1369,Sigma,,Sigma,6.38,,,
1370,Sikatuna,,Sikatuna,15.6,,,
1371,Silago,,Silago,26.77,,,
1372,Silang,,Silang,5.8,,,
1373,Silay,,Silay City,17.6,,,
1374,Silvino Lobos,,Silvino Lobos,56.94,,,
1375,Simunul,,Simunul,14.64,,,
1376,Sinacaban,,Sinacaban,24.19,,,
1377,Sinait,,Sinait,5.64,,,
1378,Sindangan,,Sindangan,37.1,,,
1379,Siniloan,,Siniloan,2.97,,,
1380,Siocon,,Siocon,51.36,,,
1381,Sipalay,,Sipalay City,23.53,,,
1382,Sipocot,,Sipocot,29.11,,,
1383,Siquijor,,Siquijor,13.1,,,
1384,Sirawai,,Sirawai,57.61,,,
1385,Siruma,,Siruma,37.77,,,
1386,Sison (PS),,Sison,12.33,,,
1387,Sison (SN),,Sison,36.24,,,
1388,Sitangkai,,Sitangkai,24.03,,,
1389,Socorro (OR),,Socorro,31.97,,,
1390,Socorro (SN),,Socorro,13.72,,,
1391,Sofronio Espanola,,Sofronio Española,17.35,,,
1392,Sogod (CU),,Sogod,27.22,,,
1393,Sogod (SL),,Sogod,19.2,,,
1394,Solana,,Solana,10.72,,,
1395,Solano,,Solano,6.95,,,
1396,Solsona,,Solsona,6.19,,,
1397,Sominot,,Sominot,38.4,,,
1398,Sorsogon,,Sorsogon City,18.07,,,
1399,South Ubian,,South Ubian,16.43,,,
1400,South Upi,,South Upi,60.4,,,
1401,Santa,,Santa,4.78,,,
1402,Santa Ana (CG),,Santa Ana,6.18,,,
1403,Santa Ana (PA),,Santa Ana,13.87,,,
1404,Santa Barbara (IO),,Santa Barbara,11.38,,,
1405,Santa Barbara (PS),,Santa Barbara,9.99,,,
1406,Santa Catalina (IS),,Santa Catalina,5.87,,,
1407,Santa Catalina (NR),,Santa Catalina,28.6,,,
1408,Santa Cruz (DS),,Santa Cruz,6.94,,,
1409,Santa Cruz (IS),,Santa Cruz,20.71,,,
1410,Santa Cruz (LA),,Santa Cruz,1.98,,,
1411,Santa Cruz (ME),,Santa Cruz,13.54,,,
1412,Santa Cruz (OM),,Santa Cruz,2.36,,,
1413,Santa Cruz (ZA),,Santa Cruz,9.6,,,
1414,Santa Elena,,Santa Elena,35.79,,,
1415,Santa Fe (CU),,Santa Fe,26.52,,,
1416,Santa Fe (LE),,Santa Fe,24.9,,,
1417,Santa Fe (NV),,Santa Fe,17.65,,,
1418,Santa Fe (RN),,Santa Fe,27.92,,,
1419,Santa Ignacia,,Santa Ignacia,5.53,,,
1420,Santa Josefa,,Santa Josefa,30.96,,,
1421,Santa Lucia,,Santa Lucia,6.28,,,
1422,Santa Magdalena,,Santa Magdalena,32.78,,,
1423,Santa Marcela,,Santa Marcela,12.2,,,
1424,Santa Margarita,,Santa Margarita,25.49,,,
1425,Santa Maria (BU),,Santa Maria,4.73,,,
1426,Santa Maria (DS),,Santa Maria,4.58,,,
1427,Santa Maria (IS),,Santa Maria,31.7,,,
1428,Santa Maria (IA),,Santa Maria,19.43,,,
1429,Santa Maria (LA),,Santa Maria,6.18,,,
1430,Santa Maria (PS),,Santa Maria,21.82,,,
1431,Santa Maria (Imelda),,Santa Maria,11.08,,,
1432,Santa Monica,,Santa Monica (Sapao),33.65,,,
1433,Santander,,Santander,18.7,,,
1434,Santa Praxedes,,Santa Praxedes,12.23,,,
1435,Santa Rita (PA),,Santa Rita,4.1,,,
1436,Santa Rita (WS),,Santa Rita,34.41,,,
1437,Santa Rosa (LA),,Santa Rosa,4.01,,,
1438,Santa Rosa (NE),,Santa Rosa City,1.29,,,
1439,Santa Teresita (BS),,Santa Teresita,10.75,,,
1440,Santa Teresita (CG),,Santa Teresita,11.8,,,
1441,Santo Domingo (AY),,Santo Domingo,4.59,,,
1442,Santo Domingo (IS),,Santo Domingo,23.03,,,
1443,Santo Domingo (NE),,Santo Domingo,4.3,,,
1444,Santol,,Santol,5.31,,,
1445,Santo Nino (CG),,Santo Niño,16.74,,,
1446,Santo Nino (WS),,Santo Niño,30.68,,,
1447,Santo Nino (SC),,Santo Niño,17.3,,,
1448,Santo Tomas (BS),,Santo Tomas,4.25,,,
1449,Santo Tomas (DN),,Santo Tomas,22.68,,,
1450,Santo Tomas (IA),,Santo Tomas,8.37,,,
1451,Santo Tomas (LU),,Santo Tomas,12.06,,,
1452,Santo Tomas (PA),,Santo Tomas,3.37,,,
1453,Santo Tomas (PS),,Santo Tomas,10.72,,,
1454,Sual,,Sual,10.1,,,
1455,Subic,,Subic,10.25,,,
1456,Sudipen,,Sudipen,3.95,,,
1457,Sugbongcogon,,Sugbongcogon,17.89,,,
1458,Sugpon,,Sugpon,10.08,,,
1459,Sulat,,Sulat,45.56,,,
1460,Sulop,,Sulop,16.12,,,
1461,Sultan Dumalondong,,Sultan Dumalondong,88.08,,,
1462,Sultan Kudarat,,Sultan Kudarat (Nuling),58.88,,,
1463,Sultan Mastura,,Sultan Mastura,59.75,,,
1464,Sultan Naga Dimaporo,,Sultan Naga Dimaporo,27.7,,,
1465,Sultan Sa Barongis,,Sultan Sa Barongis (Lambayong),67.09,,,
1466,Sumilao,,Sumilao,32.26,,,
1467,Sumisip,,Sumisip,72.24,,,
1468,Surallah,,Surallah,17.9,,,
1469,Surigao,,Surigao City,24.7,,,
1470,Suyo,,Suyo,7.88,,,
1471,Taal,,Taal,8.84,,,
1472,Tabaco,,Tabaco City,19.83,,,
1473,Tabango,,Tabango,30.81,,,
1474,Tabina,,Tabina,37.88,,,
1475,Tabogon,,Tabogon,21.5,,,
1476,Tabontabon,,Tabontabon,30.61,,,
1477,Tabuan-Lasa,,Tabuan-Lasa,85.88,,,
1478,Tabuelan,,Tabuelan,22.2,,,
1479,Tabuk,,Tabuk City,10.6,,,
1480,Tacloban,,,,,,
1481,Tacurong,,Tacurong City,10.3,,,
1482,Tadian,,Tadian,18.08,,,
1483,Taft,,Taft,47.61,,,
1484,Tagana-An,,Tagana-an,37.23,,,
1485,Tagapul-An,,Tagapul-an,31.62,,,
1486,Tagaytay,,Tagaytay City,5.35,,,
1487,Tagbilaran,,Tagbilaran City,3.4,,,
1488,Tagbina,,Tagbina,32.66,,,
1489,Tagkawayan,,Tagkawayan,20.92,,,
1490,Tago,,Tago,29.69,,,
1491,Tagoloan (LN),,Tagoloan,16.83,,,
1492,Tagoloan (MO),,Tagoloan,36.46,,,
1493,Tagoloan Ii,,Tagoloan II,85.01,,,
1494,Tagudin,,Tagudin,6.4,,,
1495,Taguig,,,,,,
1496,Tagum,,Tagum City,5.5,,,
1497,Talacogon,,Talacogon,36.17,,,
1498,Talaingod,,Talaingod,49.57,,,
1499,Talakag,,Talakag,43.39,,,
1500,Talalora,,Talalora,37.16,,,
1501,Talavera,,Talavera,4.42,,,
1502,Talayan,,Talayan,70.83,,,
1503,Talibon,,Talibon,26.5,,,
1504,Talipao,,Talipao,82.62,,,
1505,Talisay (BS),,Talisay,24.46,,,
1506,Talisay (CN),,Talisay,10.72,,,
1507,Talisay  (CU),,Talisay City,8.2,,,
1508,Talisay (NO),,Talisay City,3.52,,,
1509,Talisayan,,Talisayan,19.89,,,
1510,Talitay,,Talitay,68.73,,,
1511,Talugtug,,Talugtug,5.28,,,
1512,Talusan,,Talusan,42.32,,,
1513,Tambulig,,Tambulig,32.33,,,
1514,Tampakan,,Tampakan,30.9,,,
1515,Tamparan,,Tamparan,73.58,,,
1516,Tampilisan,,Tampilisan,48.2,,,
1517,Tanauan (BS),,Tanauan,20.91,,,
1518,Tanauan (LE),,Tanauan City,8.74,,,
1519,Tanay,,Tanay,6.37,,,
1520,Tandag,,Tandag City,19.13,,,
1521,Tandubas,,Tandubas,23.93,,,
1522,Tangalan,,Tangalan,15.31,,,
1523,Tangcal,,Tangcal,44.07,,,
1524,Tangub,,Tangub City,27.5,,,
1525,Tanjay,,Tanjay City,18.9,,,
1526,Tantangan,,Tantangan,26.8,,,
1527,Tanudan,,Tanudan,22.29,,,
1528,Tanza,,Tanza,5.24,,,
1529,Tapaz,,Tapaz,12.41,,,
1530,Tapul,,Tapul,76.79,,,
1531,Taraka,,Taraka,72.85,,,
1532,Tarangnan,,Tarangnan,29.87,,,
1533,Tarlac,,Tarlac City,5.23,,,
1534,Tarragona,,Tarragona,38.21,,,
1535,Tayabas,,Tayabas City,6.26,,,
1536,Tayasan,,Tayasan,29.2,,,
1537,Taysan,,Taysan,11.77,,,
1538,Taytay (PN),,Taytay,4.63,,,
1539,Taytay (RL),,Taytay,17.88,,,
1540,Tayug,,Tayug,8.07,,,
1541,Tayum,,Tayum,17.92,,,
1542,T'Boli,,T'boli,45.7,,,
1543,Teresa,,Teresa,4.12,,,
1544,Ternate,,Ternate,11.42,,,
1545,Tiaong,,Tiaong,6.78,,,
1546,Tibiao,,Tibiao,20.7,,,
1547,Tigaon,,Tigaon,28.7,,,
1548,Tigbao,,Tigbao,39.46,,,
1549,Tigbauan,,Tigbauan,15.59,,,
1550,Tinambac,,Tinambac,36.77,,,
1551,Tineg,,Tineg,36.35,,,
1552,Tinglayan,,Tinglayan,27.71,,,
1553,Tingloy,,Tingloy,19.08,,,
1554,Tinoc,,Tinoc,26.96,,,
1555,Tipo-Tipo,,Tipo-Tipo,76.61,,,
1556,Titay,,Titay,33.52,,,
1557,Tiwi,,Tiwi,23.58,,,
1558,Tobias Fornier,,Tobias Fornier,22.48,,,
1559,Toboso,,Toboso,20.26,,,
1560,Toledo,,Toledo City,17.2,,,
1561,Tolosa,,Tolosa,20.96,,,
1562,Tomas Oppus,,Tomas Oppus,26.49,,,
1563,Tongkil,,Tongkil,80.68,,Tondo,3.76
1564,Torrijos,,Torrijos,20.34,,,
1565,Trece Martires,,Trece Martires City,5.89,,,
1566,Trento,,Trento,29.57,,,
1567,Trinidad,,Trinidad,25.2,,,
1568,Tuao,,Tuao,11.75,,,
1569,Tuba,,Tuba,6.99,,,
1570,Tubajon,,Tubajon,35.7,,,
1571,Tubao,,Tubao,3.69,,,
1572,Tubaran,,Tubaran,78.27,,,
1573,Tubay,,Tubay,28.84,,,
1574,Tubigon,,Tubigon,16.3,,,
1575,Tublay,,Tublay,13.21,,,
1576,Tubo,,Tubo,23.59,,,
1577,Tubod (LN),,Tubod,29.36,,,
1578,Tubod (SN),,Tubod,18.06,,,
1579,Tubungan,,Tubungan,25.39,,,
1580,Tuburan (BA),,Tuburan,75.52,,,
1581,Tuburan (CU),,Tuburan,24.4,,,
1582,Tudela (CU),,Tudela,19.7,,,
1583,Tudela (MC),,Tudela,24.38,,,
1584,Tugaya,,Tugaya,70.32,,,
1585,Tuguegarao,,Tuguegarao City,4.19,,,
1586,Tukuran,,Tukuran,33.36,,,
1587,Tulunan,,Tulunan,35.4,,,
1588,Tumauini,,Tumauini,21.15,,,
1589,Tunga,,Tunga,18.24,,,
1590,Tungawan,,Tungawan,36.3,,,
1591,Tupi,,Tupi,22.5,,,
1592,Turtle Islands,,Turtle Islands,18.57,,,
1593,Tuy,,Tuy,11.88,,,
1594,Ubay,,Ubay,25.7,,,
1595,Umingan,,Umingan,12.82,,,
1596,Ungkaya Pukan,,Ungkaya Pukan,76.76,,,
1597,Unisan,,Unisan,14.64,,,
1598,Upi,,Upi,50.95,,,
1599,Urbiztondo,,Urbiztondo,18.38,,,
1600,Urdaneta,,Urdaneta City,8.36,,,
1601,Uson,,Uson,36.45,,,
1602,Uyugan,,Uyugan,13.24,,,
1603,Valderrama,,Valderrama,42.59,,,
1604,Valencia (BL),,Valencia,22,,,
1605,Valencia (BK),,Valencia,13,,,
1606,Valencia (NR),,Valencia City,21.9,,,
1607,Valenzuela,,,,,,
1608,Valladolid,,Valladolid,10.29,,,
1609,Vallehermoso,,Vallehermoso,32.3,,,
1610,Veruela,,Veruela,39.86,,,
1611,Victoria (LA),,Victoria,3.75,,,
1612,Victoria (NS),,Victoria,11.72,,,
1613,Victoria (OR),,Victoria,33.58,,,
1614,Victoria (TC),,Victoria,8.45,,,
1615,Victorias,,Victorias City,12.86,,,
1616,Viga,,Viga,29.05,,,
1617,Vigan,,Vigan City,2.42,,,
1618,Villaba,,Villaba,26.25,,,
1619,Villanueva,,Villanueva,15.97,,,
1620,Villareal,,Villareal,32.64,,,
1621,Villasis,,Villasis,11.77,,,
1622,Villaverde,,Villaverde,12.54,,,
1623,Villaviciosa,,Villaviciosa,19.93,,,
1624,Vincenzo A Sagun,,Vincenzo A. Sagun,30.81,,,
1625,Vintar,,Vintar,4.18,,,
1626,Vinzons,,Vinzons,24.33,,,
1627,Virac,,Virac,11.16,,,
1628,Wao,,Wao,65.07,,,
1629,Zamboanga,,,,,,
1630,Zamboanguita,,Zamboanguita,17.5,,,
1631,Zaragoza,,Zaragoza,3.82,,,
1632,Zarraga,,Zarraga,10.83,,,
1633,Zumarraga,,Zumarraga,38.87,,,
